tre_id	gene_tree_leaf_count	gene_tree_species_count	mulrf_distance	maximum_possible_mulrf_distance	normalized_mulrf_distance	shared_species_bipartition_count	gene_tree_only_bipartition_count
OG0004492_64	64	30	29	65	0.446154	18	19
OG0007933_40	40	30	29	61	0.47541	16	17
OG0004506_64	64	30	32	64	0.5	16	20
OG0002471_100	100	30	34	80	0.425	23	29
OG0004434_65	65	30	34	70	0.485714	18	24
OG0007937_40	40	30	34	60	0.566667	13	19
OG0008154_39	39	30	34	62	0.548387	14	20
OG0001319_157	157	30	35	83	0.421687	24	31
OG0008032_40	40	30	35	63	0.555556	14	21
OG0008159_39	39	30	37	63	0.587302	13	22
OG0008177_39	39	30	37	61	0.606557	12	21
OG0002449_101	101	30	38	74	0.513514	18	28
OG0004376_65	65	30	38	68	0.558824	15	25
OG0004443_65	65	30	38	68	0.558824	15	25
OG0004446_65	65	30	38	62	0.612903	12	22
OG0004449_65	65	30	38	66	0.575758	14	24
OG0008111_39	39	30	38	60	0.633333	11	21
OG0008161_39	39	30	38	60	0.633333	11	21
OG0004491_64	64	30	39	67	0.58209	14	25
OG0004495_64	64	30	39	65	0.6	13	24
OG0007968_40	40	30	39	61	0.639344	11	22
OG0004411_65	65	30	40	68	0.588235	14	26
OG0004478_64	64	30	40	68	0.588235	14	26
OG0008066_40	40	30	40	62	0.645161	11	23
OG0008173_39	39	30	40	62	0.645161	11	23
OG0001299_159	159	30	41	83	0.493976	21	34
OG0002451_101	101	30	41	77	0.532468	18	31
OG0001312_158	158	30	42	82	0.512195	20	34
OG0002521_99	96	30	42	72	0.583333	15	29
OG0002527_99	99	30	42	80	0.525	19	33
OG0004471_64	64	30	42	70	0.6	14	28
OG0004485_64	64	30	42	68	0.617647	13	27
OG0008026_40	40	30	42	60	0.7	9	23
OG0001284_160	160	30	43	85	0.505882	21	36
OG0001297_159	159	30	43	75	0.573333	16	31
OG0004445_65	65	30	43	65	0.661538	11	26
OG0004452_65	65	30	43	69	0.623188	13	28
OG0004472_64	64	30	43	69	0.623188	13	28
OG0004474_64	64	30	43	67	0.641791	12	27
OG0004494_64	64	30	43	73	0.589041	15	30
OG0007983_40	40	30	43	63	0.68254	10	25
OG0008056_40	40	30	43	63	0.68254	10	25
OG0002437_101	101	30	44	76	0.578947	16	32
OG0008199_39	39	30	44	64	0.6875	10	26
OG0001294_159	159	30	45	91	0.494505	23	40
OG0004390_65	65	30	46	68	0.676471	11	29
OG0008033_40	40	30	46	62	0.741935	8	26
OG0002462_100	100	30	47	85	0.552941	19	38
OG0002519_99	99	30	47	83	0.566265	18	37
OG0002524_99	99	30	47	73	0.643836	13	32
OG0008047_40	40	30	47	63	0.746032	8	27
OG0001317_157	157	30	48	96	0.5	24	44
OG0002506_99	99	30	48	82	0.585366	17	37
OG0000657_248	248	30	49	99	0.494949	25	46
OG0001259_162	162	30	49	83	0.590361	17	38
OG0002466_100	100	30	49	77	0.636364	14	35
OG0001278_161	161	30	50	86	0.581395	18	40
OG0002447_101	101	30	50	80	0.625	15	37
OG0002498_99	99	30	50	76	0.657895	13	35
OG0002508_99	99	30	50	82	0.609756	16	38
OG0004480_64	64	30	50	74	0.675676	12	34
OG0004493_64	64	30	50	70	0.714286	10	32
OG0004444_65	65	30	51	69	0.73913	9	32
OG0001260_162	158	30	52	88	0.590909	18	42
OG0002464_100	100	30	52	82	0.634146	15	39
OG0002511_99	99	30	52	82	0.634146	15	39
OG0002440_101	101	30	53	87	0.609195	17	42
OG0002450_101	101	30	53	81	0.654321	14	39
OG0002522_99	99	30	53	85	0.623529	16	41
OG0001270_161	161	30	54	102	0.529412	24	50
OG0001277_161	161	30	54	90	0.6	18	44
OG0002442_101	101	30	54	74	0.72973	10	36
OG0008135_39	39	30	54	64	0.84375	5	31
OG0001289_160	160	30	55	97	0.56701	21	48
OG0001309_158	158	30	55	85	0.647059	15	42
OG0001318_157	157	30	56	100	0.56	22	50
OG0002470_100	100	30	58	84	0.690476	13	43
OG0002523_99	99	30	58	88	0.659091	15	45
OG0001311_158	157	30	60	92	0.652174	16	48
OG0000648_249	249	30	61	111	0.54955	25	58
OG0002485_100	100	30	61	79	0.772152	9	42
OG0001272_161	161	30	62	94	0.659574	16	50
OG0002528_99	99	30	65	83	0.783133	9	46
OG0001267_162	162	30	67	93	0.72043	13	52
OG0001266_162	162	30	68	100	0.68	16	56
OG0000637_252	250	30	69	111	0.621622	21	62
OG0000633_253	253	30	74	120	0.616667	23	69
OG0001280_161	155	30	74	104	0.711538	15	61
OG0001307_159	159	30	76	102	0.745098	13	61
OG0000631_253	245	30	78	110	0.709091	16	66
OG0000629_253	253	30	79	105	0.752381	13	64
OG0000665_247	247	30	80	122	0.655738	21	73
OG0000669_246	246	30	82	102	0.803922	10	64
OG0000651_249	249	30	84	134	0.626866	25	81
OG0000652_249	249	30	85	127	0.669291	21	78
OG0000658_248	248	30	88	130	0.676923	21	81
OG0000630_253	251	30	90	132	0.681818	21	83
OG0001285_160	159	30	99	117	0.846154	9	80
OG0000622_254	254	30	104	130	0.8	13	89
OG0000667_246	246	30	112	154	0.727273	21	105
