Topology_ID	Topology_num	Topology	Tree_IDs
0	158	(AMB,((CHL,LIR),NYM));	OG_100073_66_T10_4,OG_100073_66_T9_4,OG_100138_53_T2_4,OG_100183_45_T4_4,OG_100202_43_T4_4,OG_100202_43_T5_4,OG_100236_40_T4_4,OG_100236_40_T6_4,OG_100278_37_T3_4,OG_100292_36_T5_4,OG_100465_30_T1_4,OG_100514_28_T3_4,OG_100514_28_T4_4,OG_100701_25_T1_4,OG_100831_23_T2_4,OG_101114_20_T2_4,OG_101214_19_T2_4,OG_101540_17_T2_4,OG_101553_17_T2_4,OG_101573_17_T1_4,OG_101646_16_T2_4,OG_101780_16_T1_4,OG_101978_15_T1_4,OG_101998_15_T1_4,OG_102071_14_T1_4,OG_102291_14_T1_4,OG_102480_13_T2_4,OG_102513_13_T1_4,OG_102560_13_T1_4,OG_102931_12_T1_4,OG_103011_12_T1_4,OG_103040_12_T1_4,OG_103187_11_T2_4,OG_103422_11_T1_4,OG_103441_11_T1_4,OG_103455_11_T1_4,OG_103704_10_T1_4,OG_103830_10_T1_4,OG_103947_10_T1_4,OG_104587_9_T1_4,OG_104607_9_T1_4,OG_104630_9_T1_4,OG_104888_9_T1_4,OG_104962_9_T1_4,OG_105207_8_T1_4,OG_105217_8_T1_4,OG_105261_8_T1_4,OG_105335_8_T1_4,OG_105343_8_T1_4,OG_105374_8_T1_4,OG_105612_8_T1_4,OG_105674_8_T1_4,OG_105700_8_T1_4,OG_105717_8_T1_4,OG_105810_8_T1_4,OG_105822_8_T1_4,OG_106325_7_T1_4,OG_106469_7_T1_4,OG_106508_7_T1_4,OG_106548_7_T1_4,OG_106559_7_T1_4,OG_106591_7_T1_4,OG_106656_7_T1_4,OG_106898_7_T1_4,OG_106945_7_T1_4,OG_106993_7_T1_4,OG_107024_7_T1_4,OG_107026_7_T1_4,OG_107298_6_T1_4,OG_107373_6_T1_4,OG_107470_6_T1_4,OG_107479_6_T1_4,OG_107590_6_T1_4,OG_107779_6_T1_4,OG_107961_6_T1_4,OG_107968_6_T1_4,OG_107986_6_T1_4,OG_107996_6_T1_4,OG_108015_6_T1_4,OG_108021_6_T1_4,OG_108025_6_T1_4,OG_108043_6_T1_4,OG_108193_6_T1_4,OG_108554_5_T1_4,OG_108567_5_T1_4,OG_108574_5_T1_4,OG_108633_5_T1_4,OG_108668_5_T1_4,OG_108698_5_T1_4,OG_108786_5_T1_4,OG_108796_5_T1_4,OG_108802_5_T1_4,OG_108821_5_T1_4,OG_108824_5_T1_4,OG_108871_5_T1_4,OG_108903_5_T1_4,OG_108917_5_T1_4,OG_108924_5_T1_4,OG_108949_5_T1_4,OG_108986_5_T1_4,OG_109012_5_T1_4,OG_109039_5_T1_4,OG_109118_5_T1_4,OG_109125_5_T1_4,OG_109155_5_T1_4,OG_109163_5_T1_4,OG_109170_5_T1_4,OG_109188_5_T1_4,OG_109207_5_T1_4,OG_109219_5_T1_4,OG_109266_5_T1_4,OG_109319_5_T1_4,OG_109384_5_T1_4,OG_109906_4_T1_4,OG_109922_4_T1_4,OG_109966_4_T1_4,OG_109994_4_T1_4,OG_110044_4_T1_4,OG_110045_4_T1_4,OG_110050_4_T1_4,OG_110051_4_T1_4,OG_110053_4_T1_4,OG_110075_4_T1_4,OG_110100_4_T1_4,OG_110120_4_T1_4,OG_110124_4_T1_4,OG_110143_4_T1_4,OG_110180_4_T1_4,OG_110189_4_T1_4,OG_110214_4_T1_4,OG_110223_4_T1_4,OG_110245_4_T1_4,OG_110265_4_T1_4,OG_110267_4_T1_4,OG_110269_4_T1_4,OG_110329_4_T1_4,OG_110340_4_T1_4,OG_110375_4_T1_4,OG_110380_4_T1_4,OG_110400_4_T1_4,OG_110413_4_T1_4,OG_110454_4_T1_4,OG_110461_4_T1_4,OG_110519_4_T1_4,OG_110521_4_T1_4,OG_110522_4_T1_4,OG_110535_4_T1_4,OG_110538_4_T1_4,OG_110542_4_T1_4,OG_110560_4_T1_4,OG_110583_4_T1_4,OG_110595_4_T1_4,OG_110598_4_T1_4,OG_110604_4_T1_4,OG_110605_4_T1_4,OG_110648_4_T1_4,OG_110692_4_T1_4,OG_110695_4_T1_4
1	135	(AMB,(((ARA,ORY),(CHL,LIR)),NYM));	OG_100038_80_T4_6,OG_100055_70_T5_6,OG_100164_48_T1_6,OG_100196_44_T2_6,OG_100202_43_T3_6,OG_100224_41_T3_6,OG_100231_40_T3_6,OG_100244_39_T3_6,OG_100316_35_T1_6,OG_100400_32_T2_6,OG_100539_28_T2_6,OG_100546_28_T1_6,OG_100551_27_T1_6,OG_100573_27_T1_6,OG_100602_26_T1_6,OG_100648_26_T1_6,OG_100752_24_T1_6,OG_101311_18_T1_6,OG_101386_18_T1_6,OG_101830_15_T1_6,OG_102015_15_T1_6,OG_102026_15_T1_6,OG_102056_14_T1_6,OG_102125_14_T1_6,OG_102254_14_T1_6,OG_102404_13_T1_6,OG_102494_13_T1_6,OG_102605_13_T1_6,OG_102864_12_T1_6,OG_102905_12_T1_6,OG_103002_12_T1_6,OG_103065_12_T1_6,OG_103176_11_T1_6,OG_103289_11_T1_6,OG_103298_11_T1_6,OG_103467_11_T1_6,OG_103523_11_T1_6,OG_103684_10_T1_6,OG_103687_10_T1_6,OG_103714_10_T1_6,OG_103717_10_T1_6,OG_103737_10_T1_6,OG_103859_10_T1_6,OG_103890_10_T1_6,OG_103926_10_T1_6,OG_104212_10_T1_6,OG_104344_9_T1_6,OG_104417_9_T1_6,OG_104453_9_T1_6,OG_104523_9_T1_6,OG_104551_9_T1_6,OG_104591_9_T1_6,OG_104655_9_T1_6,OG_104663_9_T1_6,OG_104772_9_T1_6,OG_104926_9_T1_6,OG_104942_9_T1_6,OG_105020_9_T1_6,OG_105344_8_T1_6,OG_105534_8_T1_6,OG_105620_8_T1_6,OG_105735_8_T1_6,OG_105744_8_T1_6,OG_105753_8_T1_6,OG_105778_8_T1_6,OG_105917_8_T1_6,OG_105976_8_T1_6,OG_106168_7_T1_6,OG_106224_7_T1_6,OG_106226_7_T1_6,OG_106422_7_T1_6,OG_106423_7_T1_6,OG_106444_7_T1_6,OG_106499_7_T1_6,OG_106503_7_T1_6,OG_106569_7_T1_6,OG_106574_7_T1_6,OG_106643_7_T1_6,OG_106792_7_T1_6,OG_106821_7_T1_6,OG_106859_7_T1_6,OG_106901_7_T1_6,OG_106933_7_T1_6,OG_106986_7_T1_6,OG_107321_6_T1_6,OG_107345_6_T1_6,OG_107359_6_T1_6,OG_107424_6_T1_6,OG_107436_6_T1_6,OG_107458_6_T1_6,OG_107500_6_T1_6,OG_107513_6_T1_6,OG_107601_6_T1_6,OG_107626_6_T1_6,OG_107637_6_T1_6,OG_107651_6_T1_6,OG_107745_6_T1_6,OG_107768_6_T1_6,OG_107773_6_T1_6,OG_107816_6_T1_6,OG_107854_6_T1_6,OG_107892_6_T1_6,OG_107945_6_T1_6,OG_108079_6_T1_6,OG_108095_6_T1_6,OG_108098_6_T1_6,OG_108124_6_T1_6,OG_108158_6_T1_6,OG_108159_6_T1_6,OG_108185_6_T1_6,OG_108549_5_T1_6,OG_108605_5_T1_6,OG_108638_5_T1_6,OG_108760_5_T1_6,OG_108795_5_T1_6,OG_108838_5_T1_6,OG_108850_5_T1_6,OG_108893_5_T1_6,OG_108920_5_T1_6,OG_108932_5_T1_6,OG_108959_5_T1_6,OG_108963_5_T1_6,OG_108988_5_T1_6,OG_108990_5_T1_6,OG_108994_5_T1_6,OG_109007_5_T1_6,OG_109021_5_T1_6,OG_109025_5_T1_6,OG_109081_5_T1_6,OG_109104_5_T1_6,OG_109152_5_T1_6,OG_109247_5_T1_6,OG_109272_5_T1_6,OG_109294_5_T1_6,OG_109360_5_T1_6
2	120	(AMB,((ARA,(CHL,LIR)),NYM));	OG_100016_103_T7_5,OG_100016_103_T8_5,OG_100051_71_T5_5,OG_100051_71_T6_5,OG_100079_64_T4_5,OG_100211_42_T2_5,OG_100213_42_T1_5,OG_100407_31_T1_5,OG_100550_27_T2_5,OG_100686_25_T1_5,OG_100991_21_T1_5,OG_101013_21_T2_5,OG_101335_18_T1_5,OG_101585_17_T1_5,OG_101859_15_T1_5,OG_102139_14_T1_5,OG_102360_13_T1_5,OG_102749_12_T1_5,OG_102773_12_T1_5,OG_102836_12_T2_5,OG_103071_12_T1_5,OG_103282_11_T1_5,OG_103686_10_T1_5,OG_103838_10_T1_5,OG_104158_10_T1_5,OG_104339_9_T1_5,OG_104488_9_T1_5,OG_104623_9_T1_5,OG_104738_9_T1_5,OG_104762_9_T1_5,OG_105318_8_T1_5,OG_105451_8_T1_5,OG_105501_8_T1_5,OG_105881_8_T1_5,OG_105883_8_T1_5,OG_105906_8_T1_5,OG_105942_8_T1_5,OG_106230_7_T1_5,OG_106260_7_T1_5,OG_106275_7_T1_5,OG_106379_7_T1_5,OG_106453_7_T1_5,OG_106502_7_T1_5,OG_106505_7_T1_5,OG_106535_7_T1_5,OG_106537_7_T1_5,OG_106542_7_T1_5,OG_106584_7_T1_5,OG_106635_7_T1_5,OG_106788_7_T1_5,OG_106905_7_T1_5,OG_106942_7_T1_5,OG_107495_6_T1_5,OG_107529_6_T1_5,OG_107612_6_T1_5,OG_107659_6_T1_5,OG_107772_6_T1_5,OG_107777_6_T1_5,OG_107875_6_T1_5,OG_107880_6_T1_5,OG_107905_6_T1_5,OG_107915_6_T1_5,OG_107979_6_T1_5,OG_108175_6_T1_5,OG_108526_5_T1_5,OG_108580_5_T1_5,OG_108583_5_T1_5,OG_108585_5_T1_5,OG_108653_5_T1_5,OG_108700_5_T1_5,OG_108709_5_T1_5,OG_108752_5_T1_5,OG_108784_5_T1_5,OG_108804_5_T1_5,OG_108830_5_T1_5,OG_108877_5_T1_5,OG_108885_5_T1_5,OG_108957_5_T1_5,OG_109005_5_T1_5,OG_109035_5_T1_5,OG_109043_5_T1_5,OG_109092_5_T1_5,OG_109098_5_T1_5,OG_109101_5_T1_5,OG_109157_5_T1_5,OG_109210_5_T1_5,OG_109261_5_T1_5,OG_109276_5_T1_5,OG_109287_5_T1_5,OG_109291_5_T1_5,OG_109396_5_T1_5,OG_109400_5_T1_5,OG_109934_4_T1_5,OG_109951_4_T1_5,OG_110004_4_T1_5,OG_110030_4_T1_5,OG_110046_4_T1_5,OG_110049_4_T1_5,OG_110077_4_T1_5,OG_110174_4_T1_5,OG_110177_4_T1_5,OG_110244_4_T1_5,OG_110293_4_T1_5,OG_110311_4_T1_5,OG_110316_4_T1_5,OG_110370_4_T1_5,OG_110384_4_T1_5,OG_110386_4_T1_5,OG_110407_4_T1_5,OG_110415_4_T1_5,OG_110469_4_T1_5,OG_110517_4_T1_5,OG_110526_4_T1_5,OG_110555_4_T1_5,OG_110569_4_T1_5,OG_110580_4_T1_5,OG_110591_4_T1_5,OG_110593_4_T1_5,OG_110600_4_T1_5,OG_110693_4_T1_5
3	111	((AMB,((((ARA,ORY),CER),(CHL,LIR)),NYM)),GIN);	OG_100037_80_T1_8,OG_100052_69_T1_8,OG_100133_54_T2_8,OG_100142_52_T2_8,OG_100154_49_T1_8,OG_100169_47_T1_8,OG_100198_44_T1_8,OG_100206_42_T2_8,OG_100361_33_T1_8,OG_100372_32_T1_8,OG_100394_32_T1_8,OG_100421_31_T1_8,OG_100433_31_T1_8,OG_100466_30_T1_8,OG_100577_27_T1_8,OG_100640_26_T1_8,OG_100702_25_T1_8,OG_100728_24_T1_8,OG_100739_24_T1_8,OG_100751_24_T1_8,OG_100767_24_T1_8,OG_100780_23_T1_8,OG_100904_22_T1_8,OG_100939_22_T1_8,OG_101000_21_T1_8,OG_101119_20_T1_8,OG_101124_20_T1_8,OG_101231_19_T1_8,OG_101324_18_T1_8,OG_101385_18_T1_8,OG_101421_18_T1_8,OG_101434_18_T1_8,OG_101506_17_T1_8,OG_101510_17_T1_8,OG_101545_17_T1_8,OG_101560_17_T1_8,OG_101758_16_T1_8,OG_101855_15_T1_8,OG_101871_15_T1_8,OG_101919_15_T1_8,OG_101955_15_T1_8,OG_101963_15_T1_8,OG_101966_15_T1_8,OG_102008_15_T1_8,OG_102012_15_T1_8,OG_102023_15_T1_8,OG_102140_14_T1_8,OG_102222_14_T1_8,OG_102381_13_T1_8,OG_102417_13_T1_8,OG_102441_13_T1_8,OG_102461_13_T1_8,OG_102501_13_T1_8,OG_102529_13_T1_8,OG_102753_12_T1_8,OG_102787_12_T1_8,OG_102807_12_T1_8,OG_102811_12_T1_8,OG_102813_12_T1_8,OG_102849_12_T1_8,OG_102913_12_T1_8,OG_103000_12_T1_8,OG_103140_11_T1_8,OG_103146_11_T1_8,OG_103153_11_T1_8,OG_103209_11_T1_8,OG_103245_11_T1_8,OG_103312_11_T1_8,OG_103324_11_T1_8,OG_103389_11_T1_8,OG_103580_11_T1_8,OG_103874_10_T1_8,OG_103882_10_T1_8,OG_103895_10_T1_8,OG_103920_10_T1_8,OG_103948_10_T1_8,OG_103978_10_T1_8,OG_103986_10_T1_8,OG_103988_10_T1_8,OG_103996_10_T1_8,OG_104075_10_T1_8,OG_104163_10_T1_8,OG_104198_10_T1_8,OG_104229_10_T1_8,OG_104361_9_T1_8,OG_104406_9_T1_8,OG_104432_9_T1_8,OG_104460_9_T1_8,OG_104518_9_T1_8,OG_104614_9_T1_8,OG_104698_9_T1_8,OG_104804_9_T1_8,OG_104845_9_T1_8,OG_104878_9_T1_8,OG_104961_9_T1_8,OG_105278_8_T1_8,OG_105364_8_T1_8,OG_105387_8_T1_8,OG_105505_8_T1_8,OG_105523_8_T1_8,OG_105526_8_T1_8,OG_105615_8_T1_8,OG_105647_8_T1_8,OG_105657_8_T1_8,OG_105682_8_T1_8,OG_105730_8_T1_8,OG_105960_8_T1_8,OG_106539_7_T1_8,OG_106578_7_T1_8,OG_106606_7_T1_8,OG_106928_7_T1_8
4	105	((AMB,(((ARA,ORY),(CER,(CHL,LIR))),NYM)),GIN);	OG_100012_114_T1_8,OG_100045_78_T1_8,OG_100051_71_T1_8,OG_100066_67_T1_8,OG_100089_63_T1_8,OG_100125_56_T2_8,OG_100153_50_T1_8,OG_100192_44_T1_8,OG_100211_42_T1_8,OG_100290_36_T1_8,OG_100313_35_T1_8,OG_100326_34_T1_8,OG_100336_34_T1_8,OG_100339_34_T1_8,OG_100340_34_T1_8,OG_100354_33_T1_8,OG_100358_33_T1_8,OG_100359_33_T2_8,OG_100414_31_T1_8,OG_100454_30_T1_8,OG_100601_26_T1_8,OG_100610_26_T1_8,OG_100626_26_T2_8,OG_100678_25_T1_8,OG_100682_25_T1_8,OG_100757_24_T1_8,OG_100782_23_T1_8,OG_100814_23_T1_8,OG_100839_23_T1_8,OG_100956_21_T1_8,OG_100960_21_T1_8,OG_101045_21_T1_8,OG_101073_20_T1_8,OG_101096_20_T1_8,OG_101117_20_T1_8,OG_101121_20_T1_8,OG_101172_19_T1_8,OG_101211_19_T1_8,OG_101238_19_T1_8,OG_101312_18_T1_8,OG_101341_18_T1_8,OG_101352_18_T1_8,OG_101428_18_T1_8,OG_101470_17_T1_8,OG_101483_17_T1_8,OG_101495_17_T1_8,OG_101654_16_T1_8,OG_101678_16_T1_8,OG_101698_16_T1_8,OG_101709_16_T1_8,OG_101905_15_T1_8,OG_101908_15_T1_8,OG_102009_15_T1_8,OG_102094_14_T1_8,OG_102097_14_T1_8,OG_102124_14_T1_8,OG_102228_14_T1_8,OG_102247_14_T1_8,OG_102292_14_T1_8,OG_102312_14_T1_8,OG_102523_13_T1_8,OG_102536_13_T1_8,OG_102574_13_T1_8,OG_102603_13_T1_8,OG_102618_13_T1_8,OG_102644_13_T1_8,OG_102659_13_T1_8,OG_102706_12_T1_8,OG_102764_12_T1_8,OG_102788_12_T1_8,OG_102886_12_T1_8,OG_102891_12_T1_8,OG_102951_12_T1_8,OG_103022_12_T1_8,OG_103027_12_T1_8,OG_103079_12_T1_8,OG_103145_11_T1_8,OG_103239_11_T1_8,OG_103356_11_T1_8,OG_103460_11_T1_8,OG_103494_11_T1_8,OG_103524_11_T1_8,OG_103915_10_T1_8,OG_103949_10_T1_8,OG_104059_10_T1_8,OG_104135_10_T1_8,OG_104204_10_T1_8,OG_104355_9_T1_8,OG_104515_9_T1_8,OG_104580_9_T1_8,OG_104611_9_T1_8,OG_104660_9_T1_8,OG_104778_9_T1_8,OG_104881_9_T1_8,OG_104944_9_T1_8,OG_105000_9_T1_8,OG_105371_8_T1_8,OG_105435_8_T1_8,OG_105477_8_T1_8,OG_105500_8_T1_8,OG_105788_8_T1_8,OG_105842_8_T1_8,OG_105847_8_T1_8,OG_105866_8_T1_8,OG_105941_8_T1_8
5	101	((AMB,(((ARA,ORY),(CHL,LIR)),NYM)),GIN);	OG_100038_80_T1_7,OG_100126_56_T1_7,OG_100196_44_T1_7,OG_100217_42_T1_7,OG_100350_33_T2_7,OG_100356_33_T1_7,OG_100357_33_T2_7,OG_100377_32_T2_7,OG_100389_32_T1_7,OG_100442_30_T1_7,OG_100569_27_T1_7,OG_100684_25_T1_7,OG_100758_24_T1_7,OG_100813_23_T2_7,OG_100924_22_T1_7,OG_101068_20_T1_7,OG_101069_20_T1_7,OG_101084_20_T1_7,OG_101203_19_T1_7,OG_101227_19_T1_7,OG_101252_19_T1_7,OG_101339_18_T1_7,OG_101411_18_T1_7,OG_101429_18_T1_7,OG_101466_17_T1_7,OG_101468_17_T1_7,OG_101612_17_T1_7,OG_101660_16_T1_7,OG_101675_16_T1_7,OG_101730_16_T1_7,OG_101852_15_T1_7,OG_101906_15_T1_7,OG_101969_15_T1_7,OG_101996_15_T1_7,OG_102299_14_T1_7,OG_102319_14_T1_7,OG_102325_14_T1_7,OG_102474_13_T1_7,OG_102733_12_T1_7,OG_102789_12_T1_7,OG_102820_12_T1_7,OG_102865_12_T1_7,OG_102934_12_T1_7,OG_103037_12_T1_7,OG_103320_11_T1_7,OG_103337_11_T1_7,OG_103341_11_T1_7,OG_103351_11_T1_7,OG_103366_11_T1_7,OG_103368_11_T1_7,OG_103439_11_T1_7,OG_103479_11_T1_7,OG_103497_11_T1_7,OG_103526_11_T1_7,OG_103589_11_T1_7,OG_103864_10_T1_7,OG_103935_10_T1_7,OG_103967_10_T1_7,OG_103972_10_T1_7,OG_104014_10_T1_7,OG_104130_10_T1_7,OG_104412_9_T1_7,OG_104503_9_T1_7,OG_104513_9_T1_7,OG_104529_9_T1_7,OG_104582_9_T1_7,OG_104710_9_T1_7,OG_104928_9_T1_7,OG_105173_8_T1_7,OG_105404_8_T1_7,OG_105469_8_T1_7,OG_105480_8_T1_7,OG_105486_8_T1_7,OG_105581_8_T1_7,OG_105823_8_T1_7,OG_105895_8_T1_7,OG_105927_8_T1_7,OG_105931_8_T1_7,OG_106161_7_T1_7,OG_106344_7_T1_7,OG_106368_7_T1_7,OG_106398_7_T1_7,OG_106402_7_T1_7,OG_106463_7_T1_7,OG_106474_7_T1_7,OG_106519_7_T1_7,OG_106608_7_T1_7,OG_106624_7_T1_7,OG_106637_7_T1_7,OG_106669_7_T1_7,OG_106839_7_T1_7,OG_106909_7_T1_7,OG_106966_7_T1_7,OG_107021_7_T1_7,OG_107032_7_T1_7,OG_107584_6_T1_7,OG_107783_6_T1_7,OG_107808_6_T1_7,OG_107861_6_T1_7,OG_107942_6_T1_7,OG_108081_6_T1_7
6	73	((AMB,(((ARA,ORY),((CER,CHL),LIR)),NYM)),GIN);	OG_100037_80_T2_8,OG_100088_63_T1_8,OG_100118_57_T2_8,OG_100210_42_T1_8,OG_100222_41_T3_8,OG_100244_39_T1_8,OG_100266_38_T1_8,OG_100294_36_T1_8,OG_100317_35_T1_8,OG_100359_33_T1_8,OG_100383_32_T1_8,OG_100385_32_T1_8,OG_100414_31_T2_8,OG_100522_28_T1_8,OG_100531_28_T1_8,OG_100608_26_T1_8,OG_100663_25_T1_8,OG_100676_25_T1_8,OG_100897_22_T1_8,OG_100905_22_T1_8,OG_100927_22_T1_8,OG_100959_21_T1_8,OG_101244_19_T1_8,OG_101358_18_T1_8,OG_101362_18_T1_8,OG_101455_17_T1_8,OG_101465_17_T1_8,OG_101580_17_T1_8,OG_101581_17_T1_8,OG_101651_16_T1_8,OG_101748_16_T1_8,OG_101836_15_T1_8,OG_101870_15_T1_8,OG_101894_15_T1_8,OG_101901_15_T1_8,OG_101934_15_T1_8,OG_102006_15_T1_8,OG_102031_15_T1_8,OG_102165_14_T1_8,OG_102191_14_T1_8,OG_102762_12_T1_8,OG_102889_12_T1_8,OG_103008_12_T1_8,OG_103013_12_T1_8,OG_103017_12_T1_8,OG_103048_12_T1_8,OG_103055_12_T1_8,OG_103085_12_T1_8,OG_103179_11_T1_8,OG_103236_11_T1_8,OG_103286_11_T1_8,OG_103323_11_T1_8,OG_103340_11_T1_8,OG_103425_11_T1_8,OG_103511_11_T1_8,OG_103812_10_T1_8,OG_103902_10_T1_8,OG_103932_10_T1_8,OG_104045_10_T1_8,OG_104095_10_T1_8,OG_104127_10_T1_8,OG_104224_10_T1_8,OG_104575_9_T1_8,OG_104605_9_T1_8,OG_104680_9_T1_8,OG_104739_9_T1_8,OG_104791_9_T1_8,OG_105003_9_T1_8,OG_105050_9_T1_8,OG_105192_8_T1_8,OG_105894_8_T1_8,OG_106500_7_T1_8,OG_106803_7_T1_8
7	68	(AMB,(((ARA,ORY),LIR),NYM));	OG_100007_131_T1_5,OG_100040_79_T6_5,OG_100040_79_T8_5,OG_100249_39_T1_5,OG_101081_20_T1_5,OG_101640_16_T1_5,OG_101817_15_T2_5,OG_101957_15_T1_5,OG_103311_11_T1_5,OG_103678_10_T1_5,OG_103757_10_T1_5,OG_103862_10_T1_5,OG_103917_10_T1_5,OG_104084_10_T1_5,OG_104320_9_T1_5,OG_104471_9_T1_5,OG_104475_9_T1_5,OG_104752_9_T1_5,OG_104863_9_T1_5,OG_104910_9_T1_5,OG_104987_9_T1_5,OG_105190_8_T1_5,OG_105228_8_T1_5,OG_105295_8_T1_5,OG_105448_8_T1_5,OG_105586_8_T1_5,OG_105745_8_T1_5,OG_105874_8_T1_5,OG_106165_7_T1_5,OG_106217_7_T1_5,OG_106449_7_T1_5,OG_106478_7_T1_5,OG_106609_7_T1_5,OG_106786_7_T1_5,OG_106893_7_T1_5,OG_106970_7_T1_5,OG_106992_7_T1_5,OG_107012_7_T1_5,OG_107037_7_T1_5,OG_107483_6_T1_5,OG_107540_6_T1_5,OG_107727_6_T1_5,OG_107786_6_T1_5,OG_108029_6_T1_5,OG_108127_6_T1_5,OG_108140_6_T1_5,OG_108196_6_T1_5,OG_108200_6_T1_5,OG_108598_5_T1_5,OG_108643_5_T1_5,OG_108715_5_T1_5,OG_108744_5_T1_5,OG_108808_5_T1_5,OG_108811_5_T1_5,OG_108812_5_T1_5,OG_108814_5_T1_5,OG_108946_5_T1_5,OG_109063_5_T1_5,OG_109071_5_T1_5,OG_109169_5_T1_5,OG_109229_5_T1_5,OG_109373_5_T1_5,OG_110106_4_T1_5,OG_110306_4_T1_5,OG_110362_4_T1_5,OG_110373_4_T1_5,OG_110647_4_T1_5,OG_110686_4_T1_5
8	63	(AMB,(((ARA,CER),(CHL,LIR)),NYM));	OG_100122_56_T3_6,OG_100140_53_T2_6,OG_100388_32_T2_6,OG_100542_28_T1_6,OG_101015_21_T2_6,OG_101334_18_T1_6,OG_101480_17_T2_6,OG_101794_16_T1_6,OG_101838_15_T1_6,OG_101846_15_T1_6,OG_102244_14_T1_6,OG_103325_11_T1_6,OG_103522_11_T1_6,OG_103586_11_T1_6,OG_103790_10_T1_6,OG_103853_10_T1_6,OG_104164_10_T1_6,OG_104382_9_T1_6,OG_104608_9_T1_6,OG_104661_9_T1_6,OG_104746_9_T1_6,OG_104794_9_T1_6,OG_104943_9_T1_6,OG_105047_9_T1_6,OG_105167_8_T1_6,OG_105818_8_T1_6,OG_105829_8_T1_6,OG_105858_8_T1_6,OG_105916_8_T1_6,OG_106158_7_T1_6,OG_106310_7_T1_6,OG_106364_7_T1_6,OG_106493_7_T1_6,OG_106585_7_T1_6,OG_106665_7_T1_6,OG_106849_7_T1_6,OG_106864_7_T1_6,OG_107344_6_T1_6,OG_107413_6_T1_6,OG_107491_6_T1_6,OG_107595_6_T1_6,OG_107661_6_T1_6,OG_107679_6_T1_6,OG_107725_6_T1_6,OG_107746_6_T1_6,OG_107799_6_T1_6,OG_107849_6_T1_6,OG_108047_6_T1_6,OG_108096_6_T1_6,OG_108168_6_T1_6,OG_108178_6_T1_6,OG_108522_5_T1_6,OG_108603_5_T1_6,OG_108648_5_T1_6,OG_108701_5_T1_6,OG_108732_5_T1_6,OG_108782_5_T1_6,OG_108897_5_T1_6,OG_108945_5_T1_6,OG_108972_5_T1_6,OG_109286_5_T1_6,OG_109295_5_T1_6,OG_109366_5_T1_6
9	62	(AMB,(((ARA,ORY),(CER,(CHL,LIR))),NYM));	OG_100136_53_T2_7,OG_100338_34_T1_7,OG_100365_33_T1_7,OG_100605_26_T1_7,OG_100753_24_T2_7,OG_100901_22_T1_7,OG_101023_21_T1_7,OG_101038_21_T1_7,OG_101345_18_T2_7,OG_101485_17_T1_7,OG_101668_16_T1_7,OG_101679_16_T1_7,OG_101954_15_T1_7,OG_102256_14_T1_7,OG_102448_13_T1_7,OG_102455_13_T1_7,OG_102532_13_T1_7,OG_102917_12_T1_7,OG_102989_12_T1_7,OG_103035_12_T1_7,OG_103075_12_T1_7,OG_103183_11_T1_7,OG_103212_11_T1_7,OG_103488_11_T1_7,OG_103602_11_T1_7,OG_103715_10_T1_7,OG_103768_10_T1_7,OG_103824_10_T1_7,OG_103852_10_T1_7,OG_103856_10_T1_7,OG_104093_10_T1_7,OG_104113_10_T1_7,OG_104154_10_T1_7,OG_104383_9_T1_7,OG_104437_9_T1_7,OG_104704_9_T1_7,OG_104736_9_T1_7,OG_104774_9_T1_7,OG_104927_9_T1_7,OG_105337_8_T1_7,OG_105636_8_T1_7,OG_105661_8_T1_7,OG_105662_8_T1_7,OG_105752_8_T1_7,OG_105761_8_T1_7,OG_105824_8_T1_7,OG_105835_8_T1_7,OG_105836_8_T1_7,OG_105891_8_T1_7,OG_105925_8_T1_7,OG_106180_7_T1_7,OG_106264_7_T1_7,OG_106326_7_T1_7,OG_106378_7_T1_7,OG_106527_7_T1_7,OG_106547_7_T1_7,OG_106586_7_T1_7,OG_106629_7_T1_7,OG_106866_7_T1_7,OG_106997_7_T1_7,OG_108061_6_T1_7,OG_108125_6_T1_7
