Newick_label	GD	NUM	GD_ratio	AABB	AXBB	AABX	Complex
S1	2	4	50.00%	2	0	0	0
S2	0	1	0.00%	0	0	0	0
S3	0	2	0.00%	0	0	0	0
S4	0	1	0.00%	0	0	0	0
S5	0	2	0.00%	0	0	0	0
S6	0	2	0.00%	0	0	0	0
S7	0	2	0.00%	0	0	0	0
S8	0	2	0.00%	0	0	0	0
S9	0	3	0.00%	0	0	0	0
S10	0	3	0.00%	0	0	0	0
S12	0	4	0.00%	0	0	0	0
S13	1	6	16.67%	1	0	0	0
S14	0	4	0.00%	0	0	0	0
S15	0	4	0.00%	0	0	0	0
S17	0	2	0.00%	0	0	0	0
S18	0	2	0.00%	0	0	0	0
S19	0	5	0.00%	0	0	0	0
S20	0	3	0.00%	0	0	0	0
S21	0	1	0.00%	0	0	0	0
S22	0	1	0.00%	0	0	0	0
S23	0	2	0.00%	0	0	0	0
S24	0	5	0.00%	0	0	0	0
S25	0	2	0.00%	0	0	0	0
S26	0	3	0.00%	0	0	0	0
S27	0	1	0.00%	0	0	0	0
S28	0	1	0.00%	0	0	0	0
