GD Loss path	GF count

S21(2)->S16(2)->S15(2)->S6(2)->ARA(2)	194

S21(2)->S16(2)->S15(2)->S6(2)->ARA(1)	283

S21(2)->S16(2)->S15(2)->S6(2)->ARA(0)	96

S21(2)->S16(2)->S15(2)->S6(1)->ARA(1)	161

S21(2)->S16(2)->S15(2)->S6(1)->ARA(0)	107

S21(2)->S16(2)->S15(2)->S6(0)->ARA(0)	65

S21(2)->S16(2)->S15(1)->S6(1)->ARA(1)	30

S21(2)->S16(2)->S15(1)->S6(1)->ARA(0)	18

S21(2)->S16(2)->S15(1)->S6(0)->ARA(0)	10

S21(2)->S16(2)->S15(0)->S6(0)->ARA(0)	12

S21(2)->S16(1)->S15(1)->S6(1)->ARA(1)	49

S21(2)->S16(1)->S15(1)->S6(1)->ARA(0)	29

S21(2)->S16(1)->S15(1)->S6(0)->ARA(0)	9

S21(2)->S16(1)->S15(0)->S6(0)->ARA(0)	9
