GD Loss path	GF count

S21(2)->S16(2)->S15(2)->S6(2)->ARA(2)	['OG0002222-115', 'OG0002961-417', 'OG0000031-688', 'OG0000024-1496', 'OG0002169-1665', 'OG0001500-1903', 'OG0001058-2079', 'OG0003129-2097', 'OG0004108-2139', 'OG0001064-2153', 'OG0000350-2254', 'OG0005599-2361', 'OG0000032-2815', 'OG0001489-2880', 'OG0000556-3035', 'OG0012635-3254', 'OG0002432-3312', 'OG0008889-3360', 'OG0000999-3537', 'OG0005211-4297', 'OG0000816-4652', 'OG0001467-4912', 'OG0001300-5637', 'OG0000036-5685', 'OG0000803-5795', 'OG0001274-5923', 'OG0001710-6207', 'OG0002964-6808', 'OG0000975-7140', 'OG0000236-7164', 'OG0000578-7330', 'OG0001868-7407', 'OG0000592-7459', 'OG0000009-7791', 'OG0002965-8000', 'OG0000155-8218', 'OG0000627-8299', 'OG0001920-8349', 'OG0000425-8464', 'OG0006027-8659', 'OG0000126-8782', 'OG0000132-8865', 'OG0000867-8884', 'OG0000913-9157', 'OG0001628-9314', 'OG0000250-9367', 'OG0000292-9577', 'OG0000292-9579', 'OG0002136-9816', 'OG0001359-9846', 'OG0005665-9928', 'OG0001371-9942', 'OG0000133-10068', 'OG0001946-10243', 'OG0006971-10629', 'OG0001207-10765', 'OG0002726-10770', 'OG0000131-10789', 'OG0001398-11189', 'OG0000253-11357', 'OG0000291-11494', 'OG0000508-11668', 'OG0000093-11717', 'OG0000087-11758', 'OG0005896-11834', 'OG0001414-11948', 'OG0001548-12166', 'OG0001206-12192', 'OG0004626-12369', 'OG0001000-12642', 'OG0003367-12904', 'OG0001148-13463', 'OG0002469-13471', 'OG0004018-13474', 'OG0000243-13790', 'OG0004555-14024', 'OG0001439-14041', 'OG0004227-14093', 'OG0000109-14237', 'OG0000135-14326', 'OG0000492-14427', 'OG0000490-14822', 'OG0000862-15078', 'OG0000296-15533', 'OG0002481-15546', 'OG0005304-15706', 'OG0003991-15772', 'OG0000095-15926', 'OG0000136-16324', 'OG0010696-16453', 'OG0001943-16458', 'OG0000446-16705', 'OG0004639-16718', 'OG0001769-16864', 'OG0000113-17097', 'OG0000729-17222', 'OG0003552-17244', 'OG0000701-17309', 'OG0001392-17357', 'OG0000264-17650', 'OG0004016-17697', 'OG0000933-17841', 'OG0000072-17917', 'OG0003194-18299', 'OG0000310-18329', 'OG0000310-18331', 'OG0004604-18391', 'OG0000304-18403', 'OG0004638-18444', 'OG0000104-18915', 'OG0000064-19080', 'OG0002698-19213', 'OG0001144-19258', 'OG0000514-19409', 'OG0004941-19427', 'OG0001145-19754', 'OG0000930-19780', 'OG0002706-20125', 'OG0001743-20463', 'OG0000317-20554', 'OG0000075-21109', 'OG0004005-21318', 'OG0000277-21404', 'OG0000277-21409', 'OG0003582-21818', 'OG0002105-22015', 'OG0000672-22300', 'OG0000672-22301', 'OG0000672-22302', 'OG0000672-22303', 'OG0003186-22380', 'OG0000458-22418', 'OG0001752-22455', 'OG0000302-22490', 'OG0000102-22815', 'OG0001354-23122', 'OG0001426-23177', 'OG0002305-23283', 'OG0001181-23487', 'OG0000249-23578', 'OG0003595-23690', 'OG0003218-23867', 'OG0002927-23924', 'OG0002258-24240', 'OG0000372-24544', 'OG0001911-24616', 'OG0001246-24651', 'OG0006110-25438', 'OG0000993-25904', 'OG0001253-26127', 'OG0001247-26158', 'OG0001904-26205', 'OG0001086-26236', 'OG0001051-26412', 'OG0001292-26871', 'OG0000007-27009', 'OG0000013-27067', 'OG0001899-27212', 'OG0000577-27278', 'OG0000211-27308', 'OG0001866-27358', 'OG0004923-27426', 'OG0005368-27479', 'OG0001132-27564', 'OG0000238-27584', 'OG0000774-27728', 'OG0001278-27947', 'OG0006271-27982', 'OG0001536-28081', 'OG0006926-28172', 'OG0000370-28233', 'OG0001730-28449', 'OG0004462-28600', 'OG0002749-28697', 'OG0002832-29077', 'OG0000957-29099', 'OG0000214-29181', 'OG0000214-29182', 'OG0000214-29186', 'OG0000573-29550', 'OG0001679-29566', 'OG0000201-29603', 'OG0003536-29686', 'OG0006328-29701', 'OG0000765-29878', 'OG0001282-29904', 'OG0003697-30118', 'OG0004661-30243', 'OG0000407-30270', 'OG0003871-30449', 'OG0000767-30814', 'OG0001135-31185', 'OG0001121-31206', 'OG0001691-31342']

S21(2)->S16(2)->S15(2)->S6(2)->ARA(1)	['OG0001059-60', 'OG0000347-71', 'OG0002020-385', 'OG0000810-426', 'OG0000192-464', 'OG0001105-909', 'OG0004901-1169', 'OG0003713-1320', 'OG0002800-1469', 'OG0000030-1567', 'OG0000839-1737', 'OG0000150-1810', 'OG0000144-1867', 'OG0003465-1888', 'OG0001500-1901', 'OG0003317-1912', 'OG0000393-2334', 'OG0005599-2362', 'OG0001099-2387', 'OG0013112-2404', 'OG0002023-2455', 'OG0000152-2477', 'OG0000152-2479', 'OG0002976-2591', 'OG0001310-2680', 'OG0004268-2697', 'OG0000026-2769', 'OG0000581-3108', 'OG0001846-3186', 'OG0001649-3229', 'OG0001649-3230', 'OG0000782-3447', 'OG0000033-3490', 'OG0008447-3660', 'OG0000147-3784', 'OG0003664-4155', 'OG0001077-4279', 'OG0000802-4661', 'OG0000751-4783', 'OG0000779-4895', 'OG0006491-4959', 'OG0002185-4972', 'OG0000221-5065', 'OG0000221-5069', 'OG0006644-5098', 'OG0001665-5133', 'OG0000209-5172', 'OG0002378-5205', 'OG0010027-5439', 'OG0000234-5445', 'OG0000793-5557', 'OG0002184-5562', 'OG0000036-5684', 'OG0000181-5847', 'OG0004867-6095', 'OG0002557-6255', 'OG0000424-6330', 'OG0000381-6491', 'OG0001458-6907', 'OG0006451-6911', 'OG0008454-6989', 'OG0003515-7055', 'OG0000785-7106', 'OG0001854-7466', 'OG0001303-7755', 'OG0003514-7762', 'OG0000009-7797', 'OG0000035-7924', 'OG0000035-7926', 'OG0002965-8001', 'OG0000196-8035', 'OG0002756-8280', 'OG0000357-8423', 'OG0000318-8542', 'OG0001774-8561', 'OG0000324-8596', 'OG0000495-8714', 'OG0000046-9104', 'OG0008383-9167', 'OG0008630-9248', 'OG0005498-9551', 'OG0006378-9963', 'OG0000655-10049', 'OG0005739-10130', 'OG0003412-10179', 'OG0000480-10238', 'OG0001039-10578', 'OG0002068-10723', 'OG0001207-10764', 'OG0000131-10784', 'OG0000131-10786', 'OG0000864-10871', 'OG0012482-11196', 'OG0000938-11213', 'OG0011376-11270', 'OG0009263-11311', 'OG0000284-11423', 'OG0004593-11707', 'OG0000044-11911', 'OG0000078-11982', 'OG0007850-12038', 'OG0001206-12191', 'OG0002243-12406', 'OG0007307-12474', 'OG0001982-12563', 'OG0001941-12715', 'OG0003818-12725', 'OG0000108-12922', 'OG0000108-12923', 'OG0000108-12925', 'OG0000108-12927', 'OG0002643-13134', 'OG0001389-13327', 'OG0000901-13356', 'OG0001820-13631', 'OG0000257-13755', 'OG0003206-13939', 'OG0001203-14176', 'OG0006961-14359', 'OG0002250-14628', 'OG0000490-14823', 'OG0002287-14832', 'OG0001201-15017', 'OG0000043-15185', 'OG0000043-15189', 'OG0002683-15281', 'OG0006624-15366', 'OG0004966-15599', 'OG0000297-15666', 'OG0005304-15707', 'OG0000526-15747', 'OG0000240-15794', 'OG0002133-16099', 'OG0000863-16176', 'OG0001002-16542', 'OG0001980-16698', 'OG0002512-16832', 'OG0000891-16979', 'OG0002704-17124', 'OG0003383-17168', 'OG0001392-17358', 'OG0000926-17367', 'OG0000098-17374', 'OG0006600-17511', 'OG0004957-17625', 'OG0001387-17805', 'OG0000847-18060', 'OG0001556-18184', 'OG0006952-18321', 'OG0000310-18327', 'OG0002513-18395', 'OG0007482-18724', 'OG0000676-18881', 'OG0003223-19051', 'OG0001636-19301', 'OG0000528-19306', 'OG0000272-19380', 'OG0004014-19395', 'OG0000299-19449', 'OG0001811-19489', 'OG0001179-19641', 'OG0001623-19730', 'OG0002100-19826', 'OG0000893-20259', 'OG0000307-20345', 'OG0001019-20349', 'OG0004165-20614', 'OG0003636-20674', 'OG0009482-20714', 'OG0001790-20723', 'OG0002064-20770', 'OG0007875-20977', 'OG0000840-21025', 'OG0004561-21038', 'OG0000049-21204', 'OG0003597-21293', 'OG0002845-21301', 'OG0000263-21322', 'OG0000277-21405', 'OG0001633-21491', 'OG0000288-21579', 'OG0004986-21711', 'OG0000935-21823', 'OG0000935-21825', 'OG0001381-21855', 'OG0008366-21960', 'OG0000074-21994', 'OG0000712-22022', 'OG0002918-22149', 'OG0004400-22284', 'OG0001020-22427', 'OG0001034-22449', 'OG0002273-22478', 'OG0001778-22588', 'OG0000116-22840', 'OG0000857-22998', 'OG0004562-23083', 'OG0003033-23400', 'OG0001195-23461', 'OG0001631-23603', 'OG0003595-23691', 'OG0001396-23719', 'OG0001433-23794', 'OG0001369-23917', 'OG0000856-23931', 'OG0000842-23968', 'OG0001553-24011', 'OG0000301-24351', 'OG0001779-24372', 'OG0000372-24541', 'OG0005587-24581', 'OG0000212-25244', 'OG0010773-25285', 'OG0006110-25437', 'OG0002612-25739', 'OG0000763-25759', 'OG0000011-25797', 'OG0003530-25834', 'OG0003256-25892', 'OG0000603-26072', 'OG0000165-26112', 'OG0001253-26126', 'OG0006528-26156', 'OG0000159-26170', 'OG0000429-26402', 'OG0001047-26525', 'OG0010360-26774', 'OG0000167-26813', 'OG0000601-26848', 'OG0000013-27051', 'OG0000013-27062', 'OG0006884-27231', 'OG0000563-27271', 'OG0000577-27280', 'OG0000588-27334', 'OG0001132-27566', 'OG0001442-27858', 'OG0007609-27968', 'OG0002995-28052', 'OG0001536-28079', 'OG0001085-28131', 'OG0001708-28262', 'OG0000412-28364', 'OG0000374-28376', 'OG0000374-28379', 'OG0002563-28386', 'OG0002211-28440', 'OG0000348-28473', 'OG0001917-28512', 'OG0001081-28554', 'OG0002167-28882', 'OG0001308-28907', 'OG0000016-28928', 'OG0000016-28937', 'OG0002371-29123', 'OG0002403-29167', 'OG0002359-29296', 'OG0001863-29308', 'OG0001686-29387', 'OG0001651-29466', 'OG0003052-29480', 'OG0000201-29602', 'OG0000942-29635', 'OG0005812-29641', 'OG0002628-29680', 'OG0000003-29790', 'OG0001094-30132', 'OG0003126-30188', 'OG0012001-30313', 'OG0004893-30431', 'OG0001096-30480', 'OG0005031-30652', 'OG0004515-30799', 'OG0001479-30829', 'OG0000029-30930', 'OG0000798-31058', 'OG0000203-31134', 'OG0002039-31896', 'OG0000148-31928', 'OG0001242-31938', 'OG0003455-31941', 'OG0007155-31957', 'OG0003657-32251']

S21(2)->S16(2)->S15(2)->S6(2)->ARA(0)	['OG0000390-203', 'OG0010593-841', 'OG0005411-898', 'OG0002419-1351', 'OG0004295-1448', 'OG0000030-1572', 'OG0000018-1623', 'OG0002962-2585', 'OG0000026-2771', 'OG0000026-2772', 'OG0001106-2913', 'OG0007238-3217', 'OG0002426-3249', 'OG0010142-4052', 'OG0001063-4304', 'OG0005761-4555', 'OG0000619-4567', 'OG0000779-4896', 'OG0009211-5116', 'OG0002423-5431', 'OG0000778-5661', 'OG0004867-6096', 'OG0001921-6465', 'OG0000183-6711', 'OG0004910-7414', 'OG0000828-8029', 'OG0006999-8612', 'OG0000683-8900', 'OG0000046-9107', 'OG0004793-9418', 'OG0002268-10415', 'OG0002487-11458', 'OG0000736-11813', 'OG0000108-12921', 'OG0007840-13006', 'OG0000490-14821', 'OG0000123-14876', 'OG0000863-16177', 'OG0001214-16250', 'OG0000098-17376', 'OG0002498-17631', 'OG0001230-18199', 'OG0001797-18288', 'OG0002505-18598', 'OG0000110-18837', 'OG0011141-19057', 'OG0001839-19422', 'OG0001810-19502', 'OG0000878-20008', 'OG0000111-20137', 'OG0000111-20139', 'OG0000111-20140', 'OG0000307-20333', 'OG0001025-20442', 'OG0000263-21323', 'OG0010703-21722', 'OG0000048-21911', 'OG0001222-22158', 'OG0001222-22159', 'OG0000466-22574', 'OG0000466-22576', 'OG0004589-23202', 'OG0001553-24012', 'OG0000301-24350', 'OG0000004-25027', 'OG0000004-25065', 'OG0001864-25363', 'OG0000011-25800', 'OG0001253-26128', 'OG0002570-26347', 'OG0000007-27002', 'OG0000007-27015', 'OG0000007-27030', 'OG0000013-27045', 'OG0000562-27516', 'OG0000006-27779', 'OG0000006-27782', 'OG0010167-28371', 'OG0000162-28625', 'OG0000162-28628', 'OG0000162-28631', 'OG0000016-28935', 'OG0006856-29346', 'OG0000003-29792', 'OG0000003-29795', 'OG0000607-30555', 'OG0007829-30681', 'OG0000001-30892', 'OG0000571-31081', 'OG0003044-31153', 'OG0008886-31452', 'OG0000000-31705', 'OG0000000-31763', 'OG0004110-32266', 'OG0002207-32318', 'OG0002207-32319']

S21(2)->S16(2)->S15(2)->S6(1)->ARA(1)	['OG0000390-202', 'OG0000145-341', 'OG0000151-354', 'OG0004294-826', 'OG0000540-1212', 'OG0000024-1480', 'OG0000024-1499', 'OG0000622-1846', 'OG0000152-2478', 'OG0000191-2625', 'OG0005610-2704', 'OG0001489-2881', 'OG0000224-2985', 'OG0000581-3105', 'OG0000581-3110', 'OG0001649-3231', 'OG0002432-3313', 'OG0007990-3591', 'OG0002977-3728', 'OG0000345-4042', 'OG0000194-4613', 'OG0000802-4663', 'OG0004245-4759', 'OG0003728-5047', 'OG0000235-5086', 'OG0004053-5104', 'OG0011305-5355', 'OG0001102-5424', 'OG0007611-5919', 'OG0010423-6063', 'OG0000397-6173', 'OG0002569-6429', 'OG0002596-6476', 'OG0008508-6633', 'OG0000034-6849', 'OG0002145-6885', 'OG0000008-6996', 'OG0011850-7113', 'OG0000236-7163', 'OG0004044-7194', 'OG0000222-7207', 'OG0002391-7444', 'OG0005603-7739', 'OG0000009-7800', 'OG0000035-7930', 'OG0000035-7933', 'OG0000155-8219', 'OG0000155-8220', 'OG0003138-8444', 'OG0000324-8602', 'OG0000481-8689', 'OG0002731-8807', 'OG0000046-9105', 'OG0000046-9113', 'OG0000250-9371', 'OG0006634-9597', 'OG0005671-9959', 'OG0000682-10013', 'OG0010446-10042', 'OG0000119-10746', 'OG0000131-10787', 'OG0002054-10823', 'OG0001415-10996', 'OG0005459-11309', 'OG0000291-11497', 'OG0000291-11498', 'OG0000520-11614', 'OG0002647-11842', 'OG0001996-12548', 'OG0001941-12716', 'OG0013996-13133', 'OG0002125-13139', 'OG0000242-13380', 'OG0001606-13484', 'OG0001808-13582', 'OG0005313-13670', 'OG0001439-14042', 'OG0000041-14062', 'OG0006593-14126', 'OG0000848-14150', 'OG0001767-14433', 'OG0000255-15357', 'OG0000255-15361', 'OG0004191-16440', 'OG0002062-17074', 'OG0002843-17349', 'OG0001147-17451', 'OG0001436-17996', 'OG0002922-18034', 'OG0003396-18047', 'OG0002063-18075', 'OG0002713-18899', 'OG0010511-19105', 'OG0000500-19326', 'OG0004014-19394', 'OG0000514-19413', 'OG0001192-19521', 'OG0002316-19616', 'OG0005323-19742', 'OG0006366-19829', 'OG0000475-20395', 'OG0001743-20464', 'OG0003140-20488', 'OG0000115-20786', 'OG0000115-20788', 'OG0001579-20831', 'OG0002676-21085', 'OG0000263-21324', 'OG0002306-21369', 'OG0002306-21370', 'OG0003030-21461', 'OG0000539-21485', 'OG0004993-21501', 'OG0001801-21646', 'OG0008776-22442', 'OG0000704-23090', 'OG0000738-23169', 'OG0003033-23399', 'OG0001624-23420', 'OG0004588-23707', 'OG0000711-23875', 'OG0003109-24512', 'OG0003531-24926', 'OG0004538-24933', 'OG0003294-25125', 'OG0005395-25307', 'OG0000993-25902', 'OG0000993-25903', 'OG0002028-26139', 'OG0000367-26340', 'OG0003122-26500', 'OG0001721-26518', 'OG0009209-27225', 'OG0000577-27281', 'OG0006846-27410', 'OG0004923-27425', 'OG0000012-27687', 'OG0000012-27695', 'OG0000199-27906', 'OG0003862-28114', 'OG0002573-28212', 'OG0006077-28426', 'OG0001081-28556', 'OG0002167-28883', 'OG0002167-28884', 'OG0000016-28930', 'OG0000016-28931', 'OG0000995-29658', 'OG0000981-29698', 'OG0005741-29948', 'OG0001255-29997', 'OG0001069-30336', 'OG0001733-30430', 'OG0001082-30470', 'OG0001519-30544', 'OG0005780-30691', 'OG0009780-31021', 'OG0001861-31363', 'OG0001134-31433', 'OG0000809-31877', 'OG0006713-32357']

S21(2)->S16(2)->S15(2)->S6(1)->ARA(0)	['OG0000347-64', 'OG0000347-65', 'OG0015548-322', 'OG0003048-992', 'OG0002419-1353', 'OG0005174-1693', 'OG0000193-1710', 'OG0001070-2145', 'OG0000218-2900', 'OG0003062-3344', 'OG0001675-3352', 'OG0000190-3715', 'OG0009605-3773', 'OG0011062-3922', 'OG0001315-4940', 'OG0000221-5062', 'OG0000036-5688', 'OG0000022-5740', 'OG0006916-6093', 'OG0001303-7756', 'OG0008253-8124', 'OG0000343-8506', 'OG0002269-8516', 'OG0008181-9414', 'OG0000293-9441', 'OG0000090-9763', 'OG0000053-9876', 'OG0002242-10534', 'OG0000050-11871', 'OG0006794-12259', 'OG0000454-12399', 'OG0003613-12424', 'OG0007307-12475', 'OG0008795-12723', 'OG0000108-12919', 'OG0000068-13194', 'OG0000083-13261', 'OG0010045-13457', 'OG0001148-13467', 'OG0001809-13572', 'OG0004609-14731', 'OG0002293-14801', 'OG0001598-15054', 'OG0000057-15140', 'OG0000057-15141', 'OG0007260-15484', 'OG0000526-15750', 'OG0000095-15930', 'OG0000095-15935', 'OG0000687-16229', 'OG0000305-16817', 'OG0000305-16821', 'OG0000852-17178', 'OG0001621-17492', 'OG0001378-17899', 'OG0006749-18494', 'OG0006749-18495', 'OG0004821-18739', 'OG0001781-18742', 'OG0000058-19017', 'OG0000065-19893', 'OG0004559-19985', 'OG0005082-20049', 'OG0000111-20142', 'OG0014428-20454', 'OG0005525-20457', 'OG0000115-20787', 'OG0001237-20914', 'OG0000049-21210', 'OG0000263-21329', 'OG0006411-22072', 'OG0003219-23023', 'OG0004562-23084', 'OG0000513-23667', 'OG0000077-23908', 'OG0000117-24106', 'OG0000005-25689', 'OG0000005-25691', 'OG0009021-25754', 'OG0000011-25799', 'OG0000011-25801', 'OG0000011-25802', 'OG0000011-25804', 'OG0000039-25853', 'OG0000039-25854', 'OG0000039-25855', 'OG0001053-26472', 'OG0000007-27031', 'OG0003297-27131', 'OG0008880-27502', 'OG0000012-27708', 'OG0000012-27716', 'OG0003321-28087', 'OG0000360-28404', 'OG0000002-28824', 'OG0000002-28830', 'OG0000002-28848', 'OG0000016-28922', 'OG0000016-28933', 'OG0001453-29652', 'OG0000995-29659', 'OG0001296-29923', 'OG0000361-30224', 'OG0009804-30682', 'OG0003044-31152', 'OG0000014-31796', 'OG0001524-31960']
