P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Glycine_max	Arachis_hypogaea	Arachis_ipaensis	8.591594503667103	0.0	0.4498644986449864	2638.0	314.0	87.0	245.0	60.0	218.0	42.0	30.0	208.0	859.0	143.0	41.0	34.0	187.0	18.0
Glycine_max	Arachis_duranensis	Arachis_ipaensis	8.759464971820066	0.0	0.47883597883597884	2701.0	347.0	98.0	240.0	60.0	227.0	43.0	32.0	224.0	880.0	166.0	37.0	38.0	182.0	20.0
Medicago_truncatula	Arachis_ipaensis	Arachis_hypogaea	9.15241099845065	0.0	0.4733009708737864	2570.0	246.0	97.0	263.0	45.0	276.0	46.0	44.0	241.0	838.0	162.0	48.0	34.0	167.0	14.0
Medicago_truncatula	Arachis_ipaensis	Arachis_duranensis	9.123771750332978	0.0	0.5060240963855421	2643.0	257.0	112.0	256.0	54.0	275.0	51.0	51.0	261.0	857.0	167.0	49.0	46.0	166.0	17.0
Trifolium_pratense	Arachis_ipaensis	Arachis_hypogaea	9.087489927563391	0.0	0.5	2592.0	250.0	81.0	247.0	46.0	258.0	45.0	38.0	247.0	850.0	161.0	56.0	27.0	182.0	17.0
Trifolium_pratense	Arachis_ipaensis	Arachis_duranensis	9.10927357474453	0.0	0.5328467153284672	2663.0	267.0	94.0	239.0	55.0	259.0	47.0	42.0	266.0	873.0	169.0	60.0	36.0	178.0	20.0
Arachis_hypogaea	Trifolium_pratense	Medicago_truncatula	3.2573850379126585	0.0005622800196851685	0.13178294573643412	2766.0	110.0	54.0	264.0	22.0	336.0	40.0	18.0	74.0	1268.0	54.0	22.0	52.0	216.0	14.0
Arachis_hypogaea	Glycine_max	Medicago_truncatula	3.1673218310475106	0.0007693154502226296	0.5897435897435898	2671.0	213.0	153.0	142.0	47.0	221.0	94.0	25.0	163.0	1165.0	107.0	48.0	113.0	149.0	23.0
Arachis_ipaensis	Trifolium_pratense	Medicago_truncatula	3.2573850379126585	0.0005622800196851685	0.13178294573643412	2766.0	110.0	54.0	264.0	22.0	336.0	40.0	18.0	74.0	1268.0	54.0	22.0	52.0	216.0	14.0
Arachis_ipaensis	Glycine_max	Medicago_truncatula	3.1673218310475106	0.0007693154502226296	0.5897435897435898	2671.0	213.0	153.0	142.0	47.0	221.0	94.0	25.0	163.0	1165.0	107.0	48.0	113.0	149.0	23.0
Glycine_max	Medicago_truncatula	Trifolium_pratense	3.8728825368603643	5.379834522423188e-05	0.24193548387096778	2059.0	124.0	97.0	107.0	23.0	109.0	13.0	9.0	43.0	118.0	23.0	16.0	11.0	24.0	5.0
Medicago_truncatula	Arachis_duranensis	Arachis_hypogaea	4.07015909851488	2.3502720909118757e-05	0.2396694214876033	1909.0	53.0	80.0	100.0	7.0	153.0	8.0	7.0	37.0	135.0	6.0	5.0	8.0	44.0	4.0
Medicago_truncatula	Arachis_duranensis	Arachis_ipaensis	3.9146097006642466	4.529376600781454e-05	0.2434782608695652	1910.0	52.0	84.0	96.0	7.0	152.0	9.0	7.0	37.0	135.0	6.0	6.0	9.0	42.0	4.0
Arachis_duranensis	Medicago_truncatula	Trifolium_pratense	3.332306897843979	0.0004307023828336032	0.36986301369863017	1848.0	109.0	86.0	61.0	19.0	155.0	15.0	14.0	42.0	117.0	18.0	17.0	10.0	25.0	8.0
Arachis_hypogaea	Medicago_truncatula	Trifolium_pratense	3.7881003784957414	7.59268298322624e-05	0.2396694214876033	2007.0	118.0	94.0	105.0	21.0	161.0	13.0	15.0	42.0	110.0	22.0	20.0	9.0	34.0	10.0
Arachis_ipaensis	Medicago_truncatula	Trifolium_pratense	3.8682469122405263	5.483106003234539e-05	0.2459016393442623	2013.0	117.0	94.0	105.0	21.0	155.0	13.0	16.0	43.0	111.0	22.0	19.0	9.0	33.0	10.0
Arachis_hypogaea	Arachis_duranensis	Trifolium_pratense	4.745204435264654	1.0427478702723647e-06	0.7884615384615385	1881.0	180.0	82.0	37.0	3.0	58.0	4.0	6.0	127.0	100.0	50.0	6.0	9.0	6.0	4.0
