P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
Glycine_max	Trifolium_pratense	Medicago_truncatula	0.5553746502051969	0.2893191844733731	0.11764705882352941	944.0	78.0	22.0	21.0	7.0	21.0	6.0	2.0	8.0	70.0	7.0	0.0	0.0	4.0	1.0
Glycine_max	Medicago_truncatula	Trifolium_pratense	-99999.9	1.0	-0.18181818181818182	944.0	22.0	78.0	21.0	7.0	21.0	8.0	0.0	6.0	70.0	0.0	2.0	7.0	4.0	1.0
Trifolium_pratense	Glycine_max	Medicago_truncatula	-3.609935226333777	0.999846826822878	0.4642857142857143	944.0	78.0	21.0	6.0	2.0	22.0	21.0	7.0	8.0	70.0	7.0	0.0	4.0	0.0	1.0
Glycine_max	Trifolium_pratense	Arachis_hypogaea	-0.2213455355359203	0.5875882619340036	1.0625	935.0	195.0	32.0	9.0	13.0	17.0	10.0	4.0	27.0	56.0	20.0	3.0	0.0	2.0	0.0
Glycine_max	Arachis_hypogaea	Trifolium_pratense	-3.9842196396465686	0.9999661334519986	0.4857142857142857	935.0	32.0	195.0	9.0	13.0	17.0	27.0	3.0	10.0	56.0	0.0	4.0	20.0	2.0	0.0
Trifolium_pratense	Glycine_max	Arachis_hypogaea	0.2343658611556803	0.40735052702676444	0.9473684210526315	935.0	195.0	17.0	10.0	4.0	32.0	9.0	13.0	27.0	56.0	20.0	3.0	2.0	0.0	0.0
Glycine_max	Trifolium_pratense	Arachis_ipaensis	0.26454162462261666	0.3956813581632618	0.9375	1015.0	115.0	37.0	8.0	9.0	22.0	7.0	2.0	22.0	67.0	14.0	2.0	1.0	2.0	0.0
Glycine_max	Arachis_ipaensis	Trifolium_pratense	-3.70358274471663	0.9998936819117757	0.5172413793103449	1015.0	37.0	115.0	8.0	9.0	22.0	22.0	2.0	7.0	67.0	1.0	2.0	14.0	2.0	0.0
Trifolium_pratense	Glycine_max	Arachis_ipaensis	-0.2469055163144422	0.5975092728580546	1.0769230769230769	1015.0	115.0	22.0	7.0	2.0	37.0	8.0	9.0	22.0	67.0	14.0	2.0	2.0	1.0	0.0
Glycine_max	Trifolium_pratense	Arachis_duranensis	0.5209793893342629	0.3011905521005869	0.8823529411764706	1014.0	116.0	37.0	9.0	8.0	22.0	7.0	2.0	22.0	69.0	12.0	2.0	1.0	2.0	0.0
Glycine_max	Arachis_duranensis	Trifolium_pratense	-3.3863660306727064	0.9996458232171839	0.5357142857142857	1014.0	37.0	116.0	9.0	8.0	22.0	22.0	2.0	7.0	69.0	1.0	2.0	12.0	2.0	0.0
Trifolium_pratense	Glycine_max	Arachis_duranensis	-0.4515154707563611	0.6741909366980641	1.1818181818181819	1014.0	116.0	22.0	7.0	2.0	37.0	9.0	8.0	22.0	69.0	12.0	2.0	2.0	1.0	0.0
Glycine_max	Medicago_truncatula	Arachis_hypogaea	0.6005256900689242	0.27407792433005573	0.8	796.0	170.0	72.0	16.0	18.0	13.0	13.0	3.0	25.0	36.0	15.0	5.0	6.0	1.0	2.0
Glycine_max	Arachis_hypogaea	Medicago_truncatula	-1.8015770702067722	0.9641940668277583	0.5714285714285715	796.0	72.0	170.0	16.0	18.0	13.0	25.0	5.0	13.0	36.0	6.0	3.0	15.0	1.0	2.0
Medicago_truncatula	Glycine_max	Arachis_hypogaea	-0.4503942675516931	0.6737868859800863	1.5	796.0	170.0	13.0	13.0	3.0	72.0	16.0	18.0	25.0	36.0	15.0	5.0	1.0	6.0	2.0
Glycine_max	Medicago_truncatula	Arachis_ipaensis	0.21512743869795078	0.414834016426073	0.9285714285714286	858.0	108.0	89.0	12.0	5.0	15.0	11.0	3.0	24.0	40.0	12.0	4.0	8.0	1.0	1.0
Glycine_max	Arachis_ipaensis	Medicago_truncatula	-2.5815292643754066	0.9950817867676905	0.52	858.0	89.0	108.0	12.0	5.0	15.0	24.0	4.0	11.0	40.0	8.0	3.0	12.0	1.0	1.0
Medicago_truncatula	Glycine_max	Arachis_ipaensis	-0.19857917418272378	0.5787040033800175	1.0909090909090908	858.0	108.0	15.0	11.0	3.0	89.0	12.0	5.0	24.0	40.0	12.0	4.0	1.0	8.0	1.0
Glycine_max	Medicago_truncatula	Arachis_duranensis	0.0	0.49999999949999996	nan	857.0	109.0	90.0	12.0	4.0	15.0	12.0	2.0	25.0	40.0	11.0	4.0	8.0	1.0	1.0
Glycine_max	Arachis_duranensis	Medicago_truncatula	-2.648102742111809	0.9959527120598097	0.5	857.0	90.0	109.0	12.0	4.0	15.0	25.0	4.0	12.0	40.0	8.0	2.0	11.0	1.0	1.0
Medicago_truncatula	Glycine_max	Arachis_duranensis	0.0	0.49999999949999996	nan	857.0	109.0	15.0	12.0	2.0	90.0	12.0	4.0	25.0	40.0	11.0	4.0	1.0	8.0	1.0
Glycine_max	Arachis_hypogaea	Arachis_ipaensis	-99999.9	1.0	-0.00980392156862745	948.0	19.0	104.0	111.0	2.0	38.0	8.0	1.0	7.0	58.0	1.0	1.0	9.0	16.0	0.0
Glycine_max	Arachis_ipaensis	Arachis_hypogaea	0.2584113732887989	0.39804477845171393	0.009523809523809525	948.0	104.0	19.0	111.0	2.0	38.0	7.0	1.0	8.0	58.0	9.0	1.0	1.0	16.0	0.0
Arachis_hypogaea	Glycine_max	Arachis_ipaensis	-26.61637144874624	1.0	0.5024154589371981	948.0	19.0	38.0	8.0	1.0	104.0	111.0	2.0	7.0	58.0	1.0	1.0	16.0	9.0	0.0
Glycine_max	Arachis_hypogaea	Arachis_duranensis	-99999.9	1.0	-0.02061855670103093	944.0	23.0	107.0	108.0	2.0	37.0	9.0	1.0	7.0	58.0	1.0	2.0	10.0	14.0	0.0
Glycine_max	Arachis_duranensis	Arachis_hypogaea	0.5021081820218529	0.30779570994731287	0.019417475728155338	944.0	107.0	23.0	108.0	2.0	37.0	7.0	2.0	9.0	58.0	10.0	1.0	1.0	14.0	0.0
Arachis_hypogaea	Glycine_max	Arachis_duranensis	-24.85435501008173	1.0	0.505	944.0	23.0	37.0	9.0	1.0	107.0	108.0	2.0	7.0	58.0	1.0	2.0	14.0	10.0	0.0
Glycine_max	Arachis_ipaensis	Arachis_duranensis	-99999.9	1.0	-0.007936507936507936	1047.0	5.0	4.0	128.0	0.0	45.0	1.0	0.0	0.0	75.0	0.0	1.0	1.0	16.0	0.0
Glycine_max	Arachis_duranensis	Arachis_ipaensis	0.950427212516607	0.1709476014759106	0.007751937984496124	1047.0	4.0	5.0	128.0	0.0	45.0	0.0	1.0	1.0	75.0	1.0	0.0	0.0	16.0	0.0
Arachis_ipaensis	Glycine_max	Arachis_duranensis	-120.70425598961081	1.0	0.5019607843137255	1047.0	5.0	45.0	1.0	0.0	4.0	128.0	0.0	0.0	75.0	0.0	1.0	16.0	1.0	0.0
Trifolium_pratense	Medicago_truncatula	Arachis_hypogaea	0.6449986970838127	0.2594639538173211	0.9117647058823529	821.0	176.0	60.0	13.0	18.0	13.0	10.0	7.0	41.0	40.0	16.0	4.0	7.0	2.0	2.0
Trifolium_pratense	Arachis_hypogaea	Medicago_truncatula	-6.019987839448915	0.9999999991246817	0.5254237288135594	821.0	60.0	176.0	13.0	18.0	13.0	41.0	4.0	10.0	40.0	7.0	7.0	16.0	2.0	2.0
Medicago_truncatula	Trifolium_pratense	Arachis_hypogaea	-0.5825794683337663	0.7199118262034201	1.1199999999999999	821.0	176.0	13.0	10.0	7.0	60.0	13.0	18.0	41.0	40.0	16.0	4.0	2.0	7.0	2.0
Trifolium_pratense	Medicago_truncatula	Arachis_ipaensis	-0.23680839763325012	0.5935972331713553	1.0384615384615385	882.0	115.0	79.0	8.0	4.0	16.0	9.0	5.0	36.0	46.0	15.0	5.0	7.0	1.0	2.0
Trifolium_pratense	Arachis_ipaensis	Medicago_truncatula	-6.630635133730996	0.9999999999831989	0.4909090909090909	882.0	79.0	115.0	8.0	4.0	16.0	36.0	5.0	9.0	46.0	7.0	5.0	15.0	1.0	2.0
Medicago_truncatula	Trifolium_pratense	Arachis_ipaensis	0.2455790790270742	0.40300409592107167	0.9655172413793104	882.0	115.0	16.0	9.0	5.0	79.0	8.0	4.0	36.0	46.0	15.0	5.0	1.0	7.0	2.0
Trifolium_pratense	Medicago_truncatula	Arachis_duranensis	-0.6372640813998314	0.7380236378193978	1.125	882.0	115.0	79.0	8.0	4.0	15.0	11.0	4.0	38.0	46.0	13.0	5.0	7.0	1.0	2.0
