Outgroup	P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
CEC	GLY	PHA	ard	-0.5087714504577131	0.6945437895705111	1.1666666666666667	545.0	93.0	34.0	13.0	10.0	27.0	16.0	7.0	37.0	69.0	35.0	8.0	6.0	7.0	3.0
CEC	GLY	ard	PHA	-4.070171603661703	0.99997649854043	0.4666666666666667	545.0	34.0	93.0	13.0	10.0	27.0	37.0	8.0	16.0	69.0	6.0	7.0	35.0	7.0	3.0
CEC	PHA	GLY	ard	0.5814530862373863	0.2804675230335929	0.8888888888888888	545.0	93.0	27.0	16.0	7.0	34.0	13.0	10.0	37.0	69.0	35.0	8.0	7.0	6.0	3.0
CEC	GLY	PHA	arh	-0.6311489505448589	0.7360284891958709	1.2105263157894737	584.0	104.0	35.0	14.0	10.0	29.0	18.0	7.0	41.0	68.0	38.0	9.0	6.0	7.0	3.0
CEC	GLY	arh	PHA	-4.260255416177795	0.999989783394002	0.46	584.0	35.0	104.0	14.0	10.0	29.0	41.0	9.0	18.0	68.0	6.0	7.0	38.0	7.0	3.0
CEC	PHA	GLY	arh	0.7409139854222258	0.22937272893770833	0.8709677419354839	584.0	104.0	29.0	18.0	7.0	35.0	14.0	10.0	41.0	68.0	38.0	9.0	7.0	6.0	3.0
CEC	GLY	PHA	ari	-0.634153283905914	0.7370096627021068	1.2	586.0	102.0	35.0	14.0	10.0	29.0	18.0	7.0	42.0	68.0	37.0	9.0	6.0	7.0	3.0
CEC	GLY	ari	PHA	-4.439072987341396	0.9999954787773327	0.4615384615384615	586.0	35.0	102.0	14.0	10.0	29.0	42.0	9.0	18.0	68.0	6.0	7.0	37.0	7.0	3.0
CEC	PHA	GLY	ari	0.7398454978902329	0.2296968054226447	0.875	586.0	102.0	29.0	18.0	7.0	35.0	14.0	10.0	42.0	68.0	37.0	9.0	7.0	6.0	3.0
CEC	GLY	PHA	MED	-99999.9	1.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEC	GLY	MED	PHA	-99999.9	1.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEC	PHA	GLY	MED	-99999.9	1.0	nan	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEC	GLY	ard	arh	0.950085574415655	0.17103437645230746	0.008620689655172414	579.0	0.0	0.0	115.0	1.0	74.0	0.0	0.0	1.0	89.0	1.0	0.0	0.0	52.0	0.0
CEC	GLY	arh	ard	-99999.9	1.0	-0.008849557522123894	579.0	0.0	0.0	115.0	1.0	74.0	1.0	0.0	0.0	89.0	0.0	0.0	1.0	52.0	0.0
CEC	ard	GLY	arh	-108.3097554833858	1.0	0.4978165938864629	579.0	0.0	74.0	0.0	0.0	0.0	115.0	1.0	1.0	89.0	1.0	0.0	52.0	0.0	0.0
CEC	GLY	ard	ari	1.368805143807272	0.08553015651034601	0.01801801801801802	576.0	3.0	5.0	109.0	2.0	73.0	0.0	1.0	2.0	88.0	1.0	1.0	1.0	50.0	0.0
CEC	GLY	ari	ard	-99999.9	1.0	-0.019047619047619046	576.0	5.0	3.0	109.0	2.0	73.0	2.0	1.0	0.0	88.0	1.0	1.0	1.0	50.0	0.0
