gd_node	gd_event_id	tree_id	status	outgroup	candidates
S13	OG0000001_2598-4	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-5	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-6	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-11	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-12	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-13	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-14	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-15	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-16	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-17	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-18	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-19	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-23	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-24	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-25	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-26	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-27	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-28	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-29	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-31	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-32	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-33	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-37	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-38	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-40	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-41	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-42	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-44	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-45	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-46	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-51	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-52	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-53	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-54	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-55	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-56	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000001_2598-57	OG0000001_2598	used	MED	MED,GLY,PHA
S13	OG0000002_2410-61	OG0000002_2410	used	MED	MED,GLY,PHA
S13	OG0000002_2410-62	OG0000002_2410	used	MED	MED,GLY,PHA
S13	OG0000002_2410-65	OG0000002_2410	used	MED	MED,GLY,PHA
