topology_id	topology_num	topology
0	330	(Medicago_truncatula,Glycine_max);
1	294	((((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
2	286	Medicago_truncatula;
3	240	((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera);
4	201	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),(Vitis_vinifera,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
5	196	(((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Vitis_vinifera);
6	175	((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max));
7	174	((((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
8	173	(((((Medicago_truncatula,Glycine_max),(Vitis_vinifera,Solanum_lycopersicum)),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
9	161	Oryza_sativa_L.Nipponbare;
10	150	(((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera);
11	145	(((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
12	137	Arabidopsis_thaliana;
13	130	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
14	117	Solanum_lycopersicum;
15	115	((((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
16	115	((((Medicago_truncatula,Glycine_max),((Arabidopsis_thaliana,Solanum_lycopersicum),Vitis_vinifera)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
17	107	Vitis_vinifera;
18	95	(((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum);
19	94	(((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Vitis_vinifera);
20	91	((((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Vitis_vinifera),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
21	84	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
22	84	Amborella_trichopoda;
23	80	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera),Amborella_trichopoda);
24	77	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),(Arabidopsis_thaliana,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
25	62	(((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Vitis_vinifera);
26	62	Glycine_max;
27	61	((((Medicago_truncatula,Glycine_max),(Vitis_vinifera,Solanum_lycopersicum)),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
28	59	((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Vitis_vinifera);
29	58	(((Medicago_truncatula,Glycine_max),Glycine_max),Vitis_vinifera);
30	57	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Solanum_lycopersicum)),Vitis_vinifera),Amborella_trichopoda);
31	56	((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Solanum_lycopersicum),Vitis_vinifera);
32	56	((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),(Vitis_vinifera,Solanum_lycopersicum)),Amborella_trichopoda);
33	54	((((Medicago_truncatula,Glycine_max),(Vitis_vinifera,Solanum_lycopersicum)),Arabidopsis_thaliana),Amborella_trichopoda);
34	54	((((Medicago_truncatula,Glycine_max),Glycine_max),Solanum_lycopersicum),Vitis_vinifera);
35	54	((Medicago_truncatula,Glycine_max),Vitis_vinifera);
36	52	((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,(Vitis_vinifera,Solanum_lycopersicum))),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
37	51	((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),Amborella_trichopoda);
38	50	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
39	48	((((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Arabidopsis_thaliana),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
40	46	(((((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
41	45	(((((Medicago_truncatula,Glycine_max),(Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare)),Vitis_vinifera),Solanum_lycopersicum),Amborella_trichopoda);
42	44	((((((Medicago_truncatula,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Vitis_vinifera),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
43	44	(((((Medicago_truncatula,Glycine_max),Vitis_vinifera),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
44	41	(((((Medicago_truncatula,Glycine_max),(Medicago_truncatula,Glycine_max)),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera);
45	39	(((((Medicago_truncatula,Glycine_max),Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Vitis_vinifera);
46	38	(((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Vitis_vinifera),Solanum_lycopersicum),Oryza_sativa_L.Nipponbare);
47	38	((((Medicago_truncatula,Glycine_max),Arabidopsis_thaliana),Solanum_lycopersicum),Amborella_trichopoda);
