topology_id	topology_num	tips_num	topology
0	30	6	((((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),Arabidopsis_thaliana),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
0	30	6	((((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),Arabidopsis_thaliana),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
0	30	6	((((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),Arabidopsis_thaliana),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
0	30	5	((Vitis_vinifera,(Arabidopsis_thaliana,(Glycine_max,Solanum_lycopersicum))),Oryza_sativa_L.Nipponbare);
0	30	5	((((Vitis_vinifera,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Amborella_trichopoda);
0	30	5	((((Vitis_vinifera,Solanum_lycopersicum),Glycine_max),Arabidopsis_thaliana),Amborella_trichopoda);
0	30	5	(((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),Arabidopsis_thaliana),Amborella_trichopoda);
0	30	5	(((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),Arabidopsis_thaliana),Amborella_trichopoda);
0	30	5	(((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
0	30	5	((((Vitis_vinifera,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana),Amborella_trichopoda);
0	30	5	((((Vitis_vinifera,Solanum_lycopersicum),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
0	30	5	((((Vitis_vinifera,Solanum_lycopersicum),Glycine_max),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
0	30	5	(((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
0	30	5	(((Vitis_vinifera,(Glycine_max,Solanum_lycopersicum)),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
0	30	4	((Arabidopsis_thaliana,(Glycine_max,Solanum_lycopersicum)),Amborella_trichopoda);
0	30	4	(((Vitis_vinifera,Glycine_max),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
0	30	4	(((Vitis_vinifera,Solanum_lycopersicum),Glycine_max),Amborella_trichopoda);
0	30	4	((Arabidopsis_thaliana,(Glycine_max,Solanum_lycopersicum)),Amborella_trichopoda);
0	30	4	((Vitis_vinifera,(Arabidopsis_thaliana,Solanum_lycopersicum)),Amborella_trichopoda);
0	30	4	(Vitis_vinifera,((Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare),Glycine_max));
0	30	4	(((Vitis_vinifera,Glycine_max),Solanum_lycopersicum),Arabidopsis_thaliana);
0	30	4	(((Vitis_vinifera,Glycine_max),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
0	30	4	(Vitis_vinifera,((Arabidopsis_thaliana,Oryza_sativa_L.Nipponbare),Glycine_max));
0	30	4	((Vitis_vinifera,(Arabidopsis_thaliana,Solanum_lycopersicum)),Amborella_trichopoda);
0	30	4	(Vitis_vinifera,(Arabidopsis_thaliana,(Glycine_max,Oryza_sativa_L.Nipponbare)));
0	30	4	(((Vitis_vinifera,Solanum_lycopersicum),Glycine_max),Amborella_trichopoda);
0	30	4	(((Vitis_vinifera,Solanum_lycopersicum),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
0	30	4	(Vitis_vinifera,(Arabidopsis_thaliana,(Glycine_max,Oryza_sativa_L.Nipponbare)));
0	30	4	(((Vitis_vinifera,Solanum_lycopersicum),Glycine_max),Arabidopsis_thaliana);
0	30	4	(((Vitis_vinifera,Glycine_max),Arabidopsis_thaliana),Oryza_sativa_L.Nipponbare);
1	9	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Glycine_max)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
1	9	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Glycine_max)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
1	9	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Glycine_max)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
1	9	6	(((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Glycine_max)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
1	9	5	((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Glycine_max)),Oryza_sativa_L.Nipponbare);
1	9	5	((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Glycine_max)),Amborella_trichopoda);
1	9	5	((((Arabidopsis_thaliana,Solanum_lycopersicum),Amborella_trichopoda),Glycine_max),Oryza_sativa_L.Nipponbare);
1	9	5	((Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Glycine_max)),Amborella_trichopoda);
1	9	4	(Vitis_vinifera,((Arabidopsis_thaliana,Solanum_lycopersicum),Glycine_max));
2	23	6	((((Vitis_vinifera,Solanum_lycopersicum),(Arabidopsis_thaliana,Glycine_max)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
2	23	6	((((Vitis_vinifera,Solanum_lycopersicum),(Arabidopsis_thaliana,Glycine_max)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
2	23	6	((((Vitis_vinifera,Solanum_lycopersicum),(Arabidopsis_thaliana,Glycine_max)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
2	23	6	((((Vitis_vinifera,Solanum_lycopersicum),(Arabidopsis_thaliana,Glycine_max)),Amborella_trichopoda),Oryza_sativa_L.Nipponbare);
2	23	6	((((Vitis_vinifera,Solanum_lycopersicum),(Arabidopsis_thaliana,Glycine_max)),Oryza_sativa_L.Nipponbare),Amborella_trichopoda);
2	23	5	(((Vitis_vinifera,Solanum_lycopersicum),(Arabidopsis_thaliana,Glycine_max)),Amborella_trichopoda);
