GeneID,leaf.ammonium,leaf.nitrate,leaf.urea,root.ammonium,root.nitrate,root.urea
AT1G01010,4.508,4.281,4.69,21.538,14.792,14.064
AT1G01020,8.476,8.327,9.481,13.613,12.738,13.99
AT1G01030,0.751,0.372,1.047,2.32,1.468,1.644
AT1G01040,9.639,9.686,10.75,19.195,15.828,21.609
AT1G01050,49.861,65.989,56.799,81.366,79.775,86.098
AT1G01060,3.787,0.334,1.945,3.022,0.621,1.59
AT1G01070,3.131,2.06,2.64,35.838,14.141,32.026
AT1G01080,41.502,50.293,60.639,4.895,4.969,5.971
AT1G01090,78.174,60.692,96.508,53.721,73.212,45.419
AT1G01100,116.566,154.711,128.477,244.535,278.878,261.459
AT1G01110,1.019,1.284,1.172,4.227,3.185,2.496
AT1G01120,17.816,51.01,24.658,32.608,37.698,22.042
AT1G01130,2.78,5.476,5.489,5.873,8.991,8.302
AT1G01140,54.822,50.105,55.977,0.98,1.833,1.014
AT1G01150,0.106,0.055,0.03,0.319,0.85,0.718
AT1G01160,20.911,21.886,17.231,31.233,27.435,28.641
AT1G01170,107.015,91.487,109.356,18.949,14.405,28.067
AT1G01180,7.73,7.143,6.809,2.352,1.513,1.395
AT1G01190,0.159,0.272,0.16,48.141,55.136,42.308
AT1G01200,0.502,1.014,0.561,7.232,13.705,9.793
AT1G01210,9.873,11.791,12.249,17.981,18.958,19.877
AT1G01220,6.367,9.998,8.369,8.425,9.887,9.133
AT1G01225,1.241,2.42,1.284,11.579,12.805,12.091
AT1G01230,30.672,31.057,31.337,35.689,37.8,39.422
AT1G01240,36.12,24.109,23.461,21.567,14.449,18.461
AT1G01250,1.683,2.09,1.599,1.998,3.34,1.822
AT1G01260,8.511,8.678,9.002,13.129,13.174,12.304
AT1G01280,0.131,0.167,0.042,0,0.01,0
AT1G01290,7.165,6.036,7.266,12.472,10.802,14.224
AT1G01300,17.579,21.29,22.14,70.661,110.059,86.212
AT1G01305,0,0,0,0,0.075,0.025
AT1G01310,0.033,0.016,0.035,0.016,0.126,0.078
AT1G01320,63.964,86.051,83.551,7.738,6.23,8.239
AT1G01335,0,0,0,0,0,0
AT1G01340,4.095,9.262,3.094,10.467,6.765,9.171
AT1G01350,13.749,16.533,12.846,21.367,18.921,19.796
AT1G01355,0.393,0.112,0.389,0.079,0.125,0.208
AT1G01360,11.442,14.906,10.879,23.884,18.34,18.431
AT1G01370,1.205,1.694,1.204,3.583,4.128,3.665
AT1G01380,0.7,1.663,0.66,13.41,3.434,12.592
AT1G01390,2.113,1.614,1.745,0.102,0,0.042
AT1G01400,0,0,0.013,0.014,0,0
AT1G01410,0,0,0,0,0,0
AT1G01420,3.409,2.473,2.336,2.938,3.142,3.065
AT1G01430,21.563,22.763,20.869,16.845,25.514,16.701
AT1G01440,11.286,14.068,9.083,8.571,8.186,7.307
AT1G01450,0.031,0,0.025,0.023,0.023,0.065
AT1G01453,0.037,0.087,0.019,0.175,0.105,0.031
AT1G01460,0,0,0,0,0.017,0.008
AT1G01470,166.394,112.512,144.099,260.696,383.78,406.791
AT1G01480,3.457,1.277,1.709,1.507,1.335,0.48
AT1G01490,22.713,21.718,18.773,17.194,11.757,13.458
AT1G01500,13.886,7.975,11.232,4.361,3.385,3.687
AT1G01510,12.952,13.66,12.604,32.442,33.24,33.425
AT1G01520,0.299,0.093,0.114,0.289,0.255,0.385
AT1G01530,0.127,0.192,0.115,0.092,0.149,0.142
AT1G01540,37.332,59.374,37.209,32.023,41.1,34.814
AT1G01550,92.749,107.144,79.939,165.302,160.699,161.882
AT1G01560,11.46,37.052,6.995,5.755,4.157,6.318
AT1G01570,1.302,0.975,0.843,1.986,2.191,1.41
AT1G01580,0.861,0.183,0.808,0.544,1.155,0.552
AT1G01590,0.145,0.172,0.206,0.02,0.05,0.041
AT1G01600,2.185,3.262,1.009,2.053,1.956,0.888
AT1G01610,15.281,23.074,14.572,16.161,19.322,8.777
AT1G01620,152.927,216.999,178.746,372.952,530.077,424.387
AT1G01630,23.777,30.357,21.903,17.567,14.319,9.599
AT1G01640,4.514,3.904,4.027,75.905,74.572,97.8
AT1G01650,17.152,25.386,15.371,27.904,40.308,38.784
AT1G01660,0.959,1.402,0.89,2.752,2.93,3.441
AT1G01670,2.121,3.26,2.049,3.532,3.436,4.146
AT1G01680,2.757,20.293,1.078,3.973,1.992,0.629
AT1G01690,1.494,2.261,1.496,6.542,7.608,7.404
AT1G01695,0.055,0.198,0.092,1.158,1.315,1.392
AT1G01700,0.319,0.521,0.77,1.401,2.139,2.554
AT1G01710,27.972,23.664,24.817,26.182,24.683,26.196
AT1G01715,2.942,2.856,2.449,9.973,7.403,9.86
AT1G01720,12.509,6.438,12.839,72.126,52.92,74.449
AT1G01725,16.732,11.928,12.669,14.376,12.564,19.374
AT1G01730,19.801,17.324,17.647,33.79,27.551,34.113
AT1G01740,4.749,3.496,3.594,7.356,5.662,7.689
AT1G01750,0.015,0.067,0,2.382,4.417,1.113
AT1G01760,1.927,2.197,1.557,5.589,4.764,5.545
AT1G01770,12.611,9.586,10.129,13.165,5.752,10.661
AT1G01780,9.017,6.252,5.884,31.339,16.3,19.378
AT1G01790,39.989,46.939,42.29,6.369,7.314,6.167
AT1G01800,56.288,63.54,55.109,38.611,34.309,34.614
AT1G01810,0.619,0.683,0.446,1.072,1.239,0.868
AT1G01820,60.896,53.583,52.703,56.872,42.501,53.016
AT1G01830,9.652,9.565,6.577,8.033,7.509,7.495
AT1G01840,0.511,1.09,0.988,0.814,1.054,0.799
AT1G01860,7.834,7.848,10.331,5.697,3.985,5.473
AT1G01880,0.555,0.796,0.568,1.488,1.396,1.329
AT1G01900,2.381,3.429,2.812,4.852,6.737,3.538
AT1G01910,25.58,28.765,23.285,30.991,33.441,29.097
AT1G01920,7.731,9.33,7.309,21.259,18.113,21.556
AT1G01930,6.509,7.189,6.792,7.821,6.799,6.876
AT1G01940,10.146,10.954,8.748,22.006,23.857,25.631
AT1G01950,6.863,8.758,7.728,13.862,18.007,15.873
AT1G01960,20.784,21.317,19.834,32.417,33.433,29.673
AT1G01970,12.178,17.376,18.07,5.22,4.373,5.144
AT1G01980,0.006,0.008,0,0.024,0,0
AT1G01990,13.069,13.21,12.264,11.305,10.139,9.936
AT1G02000,3.653,3.637,3.307,5.128,6.375,4.82
