Newick_label	GD	NUM	GD_ratio	AABB	AXBB	AABX	Complex
S0	4	96	4.17%	4	0	0	0
S1	36	162	22.22%	36	0	0	0
S2	7	107	6.54%	2	0	5	0
S3	2	129	1.55%	2	0	0	0
S4	0	63	0.00%	0	0	0	0
S5	1	128	0.78%	1	0	0	0
S6	2	120	1.67%	0	0	2	0
S7	0	140	0.00%	0	0	0	0
S8	0	61	0.00%	0	0	0	0
S9	0	52	0.00%	0	0	0	0
S10	4	235	1.70%	4	0	0	0
S11	3	140	2.14%	0	0	3	0
S12	3	237	1.27%	3	0	0	0
S13	65	238	27.31%	49	0	16	0
S14	63	191	32.98%	29	14	20	0
S15	9	180	5.00%	3	0	6	0
S16	0	93	0.00%	0	0	0	0
S17	0	161	0.00%	0	0	0	0
S18	0	85	0.00%	0	0	0	0
S19	21	184	11.41%	17	3	1	0
S20	6	119	5.04%	0	6	0	0
S21	3	73	4.11%	1	2	0	0
S22	14	123	11.38%	1	11	2	0
S23	0	69	0.00%	0	0	0	0
S24	21	138	15.22%	8	13	0	0
S25	25	100	25.00%	10	15	0	0
S26	21	68	30.88%	2	19	0	0
S27	61	97	62.89%	7	54	0	0
S28	17	100	17.00%	1	14	2	0
