AAA	Akaniaceae
AAB	Brassicaceae
AAD	Brassicaceae
AAC	Brassicaceae
AAG	Brassicaceae
AAF	Brassicaceae
AAE	Brassicaceae
AAH	Capparaceae
AAI	Capparaceae
AAJ	Caricaceae
AAK	Caricaceae
AAM	Cleomaceae
AAL	Cleomaceae
AAN	Moringaceae
AAO	Moringaceae
AAP	Resedaceae
AAQ	Bixaceae
AAR	Cistaceae
AAS	Dipterocarpaceae
AAT	Dipterocarpaceae
AAU	Malvaceae
AAV	Malvaceae
AAW	Thymelaeaceae
AAX	Thymelaeaceae
AAZ	Anacardiaceae
AAY	Anacardiaceae
ABA	Anacardiaceae
ABB	Burseraceae
ABC	Burseraceae
ABD	Kirkiaceae
ABF	Meliaceae
ABE	Meliaceae
ABG	Nitrariaceae
ABK	Rutaceae
ABH	Rutaceae
ABJ	Rutaceae
ABI	Rutaceae
ABM	Sapindaceae
ABN	Sapindaceae
ABL	Sapindaceae
ABO	Cunoniaceae
ABP	Cunoniaceae
ABQ	Cunoniaceae
ABR	Elaeocarpaceae
ABT	Oxalidaceae
ABS	Oxalidaceae
ABU	Tapisciaceae
ABV	Chrysobalanaceae
ABW	Clusiaceae
ABX	Dichapetalaceae
ABZ	Euphorbiaceae
ABY	Euphorbiaceae
ACA	Hypericaceae
ACB	Linaceae
ACC	Malpighiaceae
ACD	Malpighiaceae
ACF	Passifloraceae
ACE	Passifloraceae
ACG	Phyllanthaceae
ACH	Rafflesiaceae
ACI	Rhizophoraceae
ACJ	Rhizophoraceae
ACL	Salicaceae
ACK	Salicaceae
ACM	Salicaceae
ACN	Violaceae
ACO	Celastraceae
ACP	Celastraceae
ACR	Picramniaceae
ACQ	Picramniaceae
ACT	Cannabaceae
ACS	Cannabaceae
ACU	Elaeagnaceae
ACV	Elaeagnaceae
ACW	Elaeagnaceae
ACX	Moraceae
ACY	Moraceae
ACZ	Rhamnaceae
ADA	Rhamnaceae
ADD	Rosaceae
ADH	Rosaceae
ADB	Rosaceae
ADE	Rosaceae
ADG	Rosaceae
ADC	Rosaceae
ADF	Rosaceae
ADJ	Urticaceae
ADI	Urticaceae
ADK	Ulmaceae-A
ADM	Begoniaceae
ADL	Begoniaceae
ADN	Coriariaceae
ADO	Corynocarpaceae
ADQ	Cucurbitaceae
ADP	Cucurbitaceae
ADR	Tetramelaceae
ADT	Betulaceae
ADS	Betulaceae
ADU	Casuarinaceae
ADW	Fagaceae
ADV	Fagaceae
ADX	Juglandaceae
ADY	Juglandaceae
ADZ	Myricaceae
AEA	Myricaceae
AEB	Nothofagaceae
AED	Fabaceae
AEC	Fabaceae
AEE	Fabaceae
AEG	Fabaceae
AEF	Fabaceae
AEH	Polygalaceae
AEI	Quillajaceae
AEK	Combretaceae
AEJ	Combretaceae
AEL	Lythraceae
AEM	Lythraceae
AEN	Melastomataceae
AEO	Melastomataceae
AEQ	Myrtaceae
AEP	Myrtaceae
AER	Myrtaceae
AES	Onagraceae
AET	Penaeaceae
AEV	Zygophyllaceae
AEU	Zygophyllaceae
AEW	Melianthaceae
AEX	Melianthaceae
AEY	Vivianiaceae
AFA	Geraniaceae
AEZ	Geraniaceae
AFC	Staphyleaceae
AFB	Staphyleaceae
AFD	Stachyuraceae
AFF	Paeoniaceae
AFE	Paeoniaceae
AFG	Cercidiphyllaceae
AFH	Hamamelidaceae
AFI	Hamamelidaceae
AFK	Crassulaceae
AFJ	Crassulaceae
AFL	Saxifragaceae
AFM	Iteaceae
AFN	Cyrillaceae
AFO	Daphniphyllaceae
AFP	Grossulariaceae
AFQ	Grossulariaceae
