ALV	Camellia_lanceoleosa
AMS	Telopea_speciosissima
AOF	Phoenix_dactylifera
AOG	Elaeis_guineensis
APE	Zingiber_officinale
AAA	Bretschneidera_sinensis
AAB	Brassica_rapa
AAC	Arabidopsis_thaliana
AAD	Capsella_rubella
AAE	Aethionema_grandiflorum
AAF	Aethionema_arabicum
AAG	Arabidopsis_lyrata
AAH	Crateva_unilocularis
AAI	Capparis_pubiflora
AAJ	Carica_papaya
AAK	Jacaratia_spinosa
AAL	Cleome_serrulata
AAM	Cleome_gynandra
AAN	Moringa_oleifera
AAO	Moringa_stenopetala
AAP	Reseda_lutea
AAQ	Bixa_orellana
AAR	Helianthemum_apenninum
AAS	Vatica_mangachapoi
AAT	Hopea_chinensis
AAU	Theobroma_cacao
AAV	Gossypium_raimondii
AAW	Edgeworthia_tomentosa
AAX	Wikstroemia_canescens
AAY	Mangifera_indica
AAZ	Pistacia_vera
ABA	Anacardium_occidentale
ABB	Boswellia_sacra
ABC	Commiphora_habessinica
ABD	Kirkia_wilmsii
ABE	Toona_sinensis
ABF	Guarea_kunthiana
ABG	Peganum_harmala
ABH	Citrus_clementina
ABI	Zanthoxylum_bungeanum
ABJ	Pilocarpus_pennatifolius
ABK	Citrus_sinensis
ABL	Aesculus_assamica
ABM	Dipteronia_sinensis
ABN	Dipteronia_dyeriana
ABO	Callicoma_serratifolia
ABP	Eucryphia_cordifolia
ABQ	Caldcluvia_paniculosa
ABR	Elaeocarpus_glabripetalus
ABS	Averrhoa_carambola
ABT	Oxalis_corniculata
ABU	Tapiscia_sinensis
ABV	Chrysobalanus_icaco
ABW	Clusia_lanceolata
ABX	Dichapetalum_longipetalum
ABY	Manihot_esculenta
ABZ	Ricinus_communis
ACA	Hypericum_perforatum
ACB	Linum_usitatissimum
ACC	Bunchosia_armeniaca
ACD	Galphimia_gracilis
ACE	Passiflora_organensis
ACF	Passiflora_caerulea
ACG	Phyllanthus_virgatus
ACH	Rafflesia_cantleyi
ACI	Rhizophora_apiculata
ACJ	Carallia_brachiata
ACK	Populus_trichocarpa
ACL	Salix_brachista
ACM	Populus_deltoides
ACN	Viola_philippica
ACO	Euonymus_carnosus
ACP	Tripterygium_wilfordii
ACQ	Alvaradoa_amorphoides
ACR	Picramnia_pentandra
ACS	Cannabis_sativa
ACT	Humulus_scandens
ACU	Hippophae_rhamnoides
ACV	Elaeagnus_angustifolia
ACW	Elaeagnus_umbellata
ACX	Morus_alba
ACY	Ficus_racemosa
ACZ	Ziziphus_jujuba
ADA	Colletia_spinosissima
ADB	Fragaria_vesca
ADC	Pyrus_bretschneideri
ADD	Prunus_mume
ADE	Crataegus_cuneata
ADF	Prunus_persica
ADG	Gillenia_trifoliata
ADH	Malus_domestica
ADI	Urtica_fissa
ADJ	Elatostema_involucratum
ADK	Holoptelea_integrifolia
ADL	Begonia_peltatifolia
ADM	Begonia_leprosa
ADN	Coriaria_nepalensis
ADO	Corynocarpus_laevigatus
ADP	Cucumis_sativus
ADQ	Actinostemma_tenerum
ADR	Tetrameles_nudiflora
ADS	Corylus_sieboldiana
ADT	Corylus_avellana
ADU	Casuarina_cunninghamiana
ADV	Fagus_sylvatica
ADW	Quercus_glauca
ADX	Carya_illinoinensis
ADY	Juglans_regia
ADZ	Myrica_rubra
AEA	Comptonia_peregrina
AEB	Nothofagus_antarctica
AEC	Phaseolus_vulgaris
AED	Senna_bicapsularis
AEE	Medicago_truncatula
AEF	Caesalpinia_decapetala
AEG	Cercis_chinensis
AEH	Polygala_arillata
AEI	Quillaja_saponaria
AEJ	Combretum_indicum
AEK	Combretum_rotundifolium
AEL	Lagerstroemia_speciosa
AEM	Cuphea_hookeriana
AEN	Tibouchina_cardinalis
AEO	Melastoma_dodecandrum
AEP	Rhodomyrtus_tomentosa
AEQ	Eucalyptus_grandis
AER	Psidium_guajava
AES	Fuchsia_bracelinae
AET	Penaea_cneorum
AEU	Guaiacum_sanctum
AEV	Tribulus_terrestris
AEW	Greyia_sutherlandii
AEX	Melianthus_major
AEY	Balbisia_gracilis
AEZ	Pelargonium_hortorum
AFA	Geranium_maderense
AFB	Staphylea_bumalda
AFC	Euscaphis_japonica
AFD	Stachyurus_praecox
AFE	Paeonia_lactiflora
AFF	Paeonia_suffruticosa
AFG	Cercidiphyllum_japonicum
AFH	Hamamelis_virginiana
AFI	Distylium_buxifolium
AFJ	Bryophyllum_pinnatum
AFK	Crassula_ovata
AFL	Saxifraga_stolonifera
AFM	Itea_ilicifolia
AFN	Cyrilla_racemiflora
AFO	Daphniphyllum_himalayense
AFP	Ribes_burejense
AFQ	Ribes_fasciculatum
AFR	Vitis_vinifera
AFS	Leea_guineense
AFT	Cayratia_japonica
AFU	Balanophora_fungosa
AFV	Balanophora_harlandii
AFW	Loranthus_tanakae
AFX	Santalum_album
AFY	Delosperma_cooperi
AFZ	Chenopodium_quinoa
AGA	Amaranthus_hypochondriacus
AGB	Alternanthera_philoxeroides
AGC	Opuntia_dillenii
AGD	Hylocereus_undatus
AGE	Dianthus_caryophyllus
AGF	Stellaria_media
AGG	Alluaudia_procera
AGH	Dionaea_muscipula
AGI	Mirabilis_jalapa
AGJ	Phytolacca_americana
AGK	Limonium_aureum
AGL	Fagopyrum_tataricum
AGM	Polygonum_runcinatum
AGN	Tamarix_chinensis
AGO	Avicennia_marina
AGP	Thunbergia_alata
AGQ	Strobilanthes_cusia
AGR	Handroanthus_impetiginosus
AGS	Jacaranda_mimosifolia
AGT	Bignonia_capreolata
AGU	Byblis_gigantea
AGV	Jovellana_punctata
AGW	Silvianthus_bracteatus
AGX	Gesneria_pedicellaris
AGY	Dorcoceras_hygrometricum
AGZ	Lamium_album
AHA	Prostanthera_ovalifolia
AHB	Pinguicula_agnata
AHC	Genlisea_aurea
AHD	Lindernia_crustacea
AHE	Proboscidea_fragrans
AHF	Mimulus_guttatus
AHG	Lancea_tibetica
AHH	Olea_europaea
AHI	Fraxinus_quadrangulata
AHJ	Jasminum_nudiflorum
AHK	Forsythia_viridissima
AHL	Orobanche_aegyptiaca
AHM	Cymbaria_mongolica
AHN	Paulownia_fargesii
AHO	Sesamum_indicum
AHP	Digitalis_purpurea
AHQ	Antirrhinum_majus
AHR	Verbascum_thapsus
AHS	Buddleja_alternifolia
AHT	Bowkeria_verticillata
AHU	Polypremum_procumbens
AHV	Verbena_bonariensis
AHW	Phyla_scaberrima
AHX	Anchusa_officinalis
AHY	Codon_royenii
AHZ	Coldenia_procumbens
AIA	Bothriospermum_chinense
AIB	Varronia_sp.
AIC	Ehretia_dicksonii
AID	Codon_schenckii
AIE	Nemophila_menziesii
AIF	Heliotropium_arborescens
AIG	Eriodictyon_crassifolium
AIH	Vinca_major
AII	Catharanthus_roseus
AIJ	Gelsemium_rankinii
AIK	Swertia_bimaculata
AIL	Eustoma_grandiflorum
AIM	Strychnos_nux-vomica
AIN	Coffea_canephora
AIO	Neolamarckia_cadamba
AIP	Convolvulus_arvensis
AIQ	Ipomoea_purpurea
AIR	Hydrolea_spinosa
AIS	Montinia_caryophyllacea
AIT	Nicotiana_sylvestris
AIU	Lycium_barbarum
AIV	Solanum_lycopersicum
AIW	Schizanthus_pinnatus
AIX	Sphenoclea_zeylanica
AIY	Iodes_cirrhosa
AIZ	Natsiatopsis_thunbergiifolia
AJA	Pittosporopsis_kerrii
AJB	Merrilliodendron_megacarpum
AJC	Platea_latifolia
AJD	Pyrenacantha_malvifolia
AJE	Ilex_purpurea
AJF	Ilex_polyneura
AJG	Ilex_chinensis
AJH	Helwingia_japonica
AJI	Gomphandra_tetrandra
AJJ	Gonocaryum_calleryanum
AJK	Eucommia_ulmoides
AJL	Aucuba_japonica
AJM	Garrya_elliptica
AJN	Corokia_cotoneaster
AJO	Lactuca_sativa
AJP	Helianthus_tuberosus
AJQ	Mutisia_acuminata
AJR	Senecio_vulgaris
AJS	Dasyphyllum_diacanthoides
AJT	Calycera_herbacea
AJU	Lobelia_cardinalis
AJV	Campanula_cochleariifolia
AJW	Scaevola_aemula
AJX	Nymphoides_indica
AJY	Nymphoides_peltata
AJZ	Carpodetus_serratus
AKA	Stylidium_laricifolium
AKB	Apium_graveolens
AKC	Daucus_carota
AKD	Hedera_nepalensis
AKE	Panax_ginseng
AKF	Cornus_wilsoniana
AKG	Griselinia_littoralis
