A.chinensis	Actinidiaceae
A.trichopoda	Amborellaceae
A.thaliana	Brassicaceae
C.richardii	Pteridaceae
C.reinhardtii	Chlamydomonadaceae
C.canephora	Rubiaceae
D.salina	Dunaliellaceae
G.biloba	Ginkgoaceae
M.polymorpha	Marchantiaceae
O.sativa	Poaceae
P.somniferum	Papaveraceae
S.lycopersicum	Solanaceae
T.sinense	Trochodendraceae
T.cacao	Malvaceae
V.vinifera	Vitaceae
C.Nanyongensis	Theaceae
C.chekiangoleosa	Theaceae
C.DASZ	Theaceae
C.Lanceoleosa	Theaceae
C.Biyun	Theaceae
C.Huangdan	Theaceae
C.Longjing	Theaceae
C.Shuchazao	Theaceae
C.DuyunMaojian	Theaceae
C.Tieguanyin	Theaceae
C.Yunkang10	Theaceae
C.Yinghong9	Theaceae
S.gemmata	Theaceae
query	query
