start_node,end_species,loss_summary,first_loss_after_node,gd_count,tree_gd_IDs,gene1_IDs,gene2_IDs,path_string,end_copy_number,S28,S27,S26,S25,S24,S23,S22,S21,S20,S19,S18,S17,S16,S15,S14,S13,S12,S11,S10,S9,S8,S7,S6,S5,S4,S3,S2,S1,S0,DUN,CHL,MAR,CER,GIN,AMB,NYM,BRA,ORY,ASP,CIN,LIR,AQU,COF,SOL,MIM,HEL,ACT,VIT,POP,ARA,PRU,CUC,PHA,GLY,MED,ARH,ARI,ARD,CEC
S28,ACT,Lost after S28,S28,2,OG0000665_247-78;OG0004491_64-234,NA,ACT_0017640;ACT_0001003,S28(2)->S27(1)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),1,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,ACT,Lost after S27,S27,1,OG0001267_162-102,NA,ACT_0009636,S28(2)->S27(2)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),1,2,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,ACT,Lost after S26,S26,1,OG0000652_249-50,NA,ACT_0025343,S27(2)->S26(2)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),1,NA,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,ACT,Lost after S25,S25,2,OG0001259_162-90;OG0002498_99-203,NA,ACT_0009627;ACT_0010095,S27(2)->S26(2)->S25(2)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),1,NA,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,ACT,Lost after S24,S24,1,OG0001267_162-101,NA,ACT_0009636,S27(2)->S26(2)->S25(2)->S24(2)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),1,NA,2,2,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,ACT,Lost after S7,S7,1,OG0002522_99-214,ACT_0023149,NA,S27(2)->S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(1),1,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,ACT,No duplicate lost,NA,6,OG0000652_249-49;OG0000667_246-84;OG0001289_160-124;OG0001289_160-125;OG0002437_101-178;OG0002523_99-216,ACT_0025385;ACT_0019842;ACT_0024602;ACT_0013551;ACT_0000846;ACT_0023412,ACT_0025343;ACT_0009925;ACT_0017904;ACT_0040242;ACT_0034654,S27(2)->S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(2),2,NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S26,ACT,No duplicate lost,NA,3,OG0001266_162-96;OG0001266_162-97;OG0002471_100-196,ACT_0004987;ACT_0036846;ACT_0013401,ACT_0028826;ACT_0000049,S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(2),2,NA,NA,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S25,ACT,Lost after S23,S23,3,OG0002440_101-179;OG0002522_99-213;OG0004494_64-237,NA,ACT_0000795;ACT_0023149;ACT_0015718,S25(2)->S24(2)->S23(2)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),1,NA,NA,NA,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S25,ACT,Lost after S21,S21,1,OG0001318_157-172,NA,ACT_0017979,S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(1)->S19(1)->S7(1)->ACT(1),1,NA,NA,NA,2,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
