tre_name	single_copy_tree
OG0004506_64_T1_30	((MAR_0011900:2.9507e-01,((GIN_0017793:2.0116e-01,(AMB_0002743:2.9156e-01,(NYM_0029359:1.4117e-02,(((CIN_0011912:1.3983e-01,LIR_0013297:1.3059e-03)99:4.5880e-02,((((ARA_0017113:3.2175e-01,POP_0006563:1.1429e-06)99:2.8990e-02,((CEC_0006429:8.1051e-02,((GLY_0035863:3.7268e-02,PHA_0024550:6.1802e-02)100:3.7028e-02,(MED_0020873:1.2752e-01,((LOC107625463:2.8133e-04,arharahy.Tifrunner.gnm1.Arahy.12g01931:1.1429e-06)66:4.9221e-03,ardaradu.V14167.gnm1.Aradu.A06g03299:3.1872e-02)47:1.2200e-06)52:9.4498e-03)100:4.5648e-02)100:8.9567e-02,(CUC_0025672:2.3353e-01,PRU_0027002:1.1429e-06)75:1.7309e-02)99:1.6049e-02)100:3.5574e-02,(VIT_0002771:1.3242e-01,(ACT_0005121:1.4846e-01,(((COF_0016282:1.7544e-01,SOL_0018230:1.8638e-01)66:2.1869e-02,MIM_0022023:2.2850e-01)100:3.8808e-02,HEL_0003411:3.0898e-01)99:2.5643e-02)100:4.1564e-02)82:1.4989e-02)100:6.1254e-02,AQU_0001170:1.1429e-06)100:4.8332e-02)94:2.8650e-02,(ASP_0000979:2.9746e-01,(ORY_0030108:2.3149e-01,BRA_0002833:1.1429e-06)99:1.0824e-01)52:9.9938e-03)71:3.3035e-02)57:2.7778e-03)99:9.8482e-02)100:1.1944e-01,CER_0036851:1.1429e-06)97:1.3146e-01)100:3.2602e-01,(CHL_0018025:3.2388e-01,DUN_0009399:2.2947e-01)98:8.1503e-02);
OG0004478_64_T1_30	((CHL_0005284:2.8182e-01,DUN_0013445:6.1968e-01)100:1.8751e-01,(MAR_0000861:4.5503e-01,((GIN_0001202:1.6435e-01,((AMB_0019938:2.0426e-01,NYM_0004980:2.8059e-01)64:8.7263e-03,((((CIN_0010443:1.2136e-01,LIR_0036788:1.0020e-06)98:5.1942e-02,AQU_0013779:0.0000e+00)49:2.4348e-02,(ASP_0017530:1.0389e-01,(BRA_0021224:1.0020e-06,ORY_0030945:1.3183e-02)100:2.0449e-01)91:7.3210e-02)27:3.6130e-02,(((((ARA_0023294:3.1577e-01,POP_0005631:1.0020e-06)78:3.8013e-02,((CEC_0006613:8.0633e-02,(((PHA_0028329:4.8782e-02,GLY_0068721:1.5558e-02)99:2.9850e-02,MED_0035157:9.1058e-02)90:1.9104e-02,((LOC107622226:1.1084e-01,arharahy.Tifrunner.gnm1.Arahy.10g03133:3.1882e-03)99:1.6996e-02,ardaradu.V14167.gnm1.Aradu.A10g03321:4.3216e-03)98:4.3752e-03)86:3.0533e-02)99:6.1458e-02,CUC_0025759:0.0000e+00)89:1.6838e-02)41:6.2252e-03,PRU_0029905:0.0000e+00)64:2.0612e-02,VIT_0003000:6.1255e-02)73:2.9787e-02,((((HEL_0041859:1.8355e-01,SOL_0032957:1.4420e-01)99:6.2326e-02,MIM_0009566:1.0020e-06)92:2.5916e-02,COF_0021645:4.2675e-03)87:2.0003e-02,ACT_0031532:4.8214e-03)95:2.7552e-02)87:4.2734e-02)37:6.5744e-02)98:2.3308e-01)69:1.3715e-01,CER_0042798:1.0020e-06)100:2.5236e-01)100:1.8751e-01);
OG0001319_157_T1_29	((CHL_0008411:9.83234e-01,DUN_0006980:2.12893e-01)100:6.32585e-01,((CER_0022028:0.00000e+00,((((((((((ACT_0033173:1.39339e-01,((COF_0002148:1.68932e-01,(MIM_0007884:2.62821e-01,SOL_0028037:1.93223e-01)97:2.95496e-02)88:4.00451e-02,HEL_0011148:1.61500e-01)91:3.16700e-02)91:2.20056e-02,((ARA_0004989:1.08890e-01,POP_0015151:1.00820e-06)60:2.90331e-02,((CEC_0005348:7.12687e-02,(((GLY_0039557:1.00820e-06,PHA_0032301:1.00820e-06)100:1.57525e-02,MED_0036518:1.00820e-06)99:5.00911e-02,(LOC107646072:1.00820e-06,arharahy.Tifrunner.gnm1.Arahy.16g00821:1.00820e-06)100:7.67466e-03)99:3.83980e-02)100:9.30999e-02,(CUC_0006689:2.15240e-06,PRU_0006636:1.00820e-06)70:1.31856e-02)75:1.76041e-02)63:1.60342e-02)54:7.14159e-03,VIT_0022374:9.77608e-02)96:6.32537e-02,AQU_0002332:1.00820e-06)96:5.16674e-02,CIN_0002763:3.80229e-01)72:1.60749e-02,(ASP_0009942:1.88402e-01,(ORY_0017131:7.93158e-02,BRA_0008608:1.00820e-06)100:2.82631e-01)100:1.02909e-01)82:1.81154e-02,LIR_0001237:1.00820e-06)97:6.23307e-02,NYM_0023379:0.00000e+00)77:3.91714e-02,AMB_0008875:2.43930e-01)97:1.62633e-01,GIN_0009387:1.11140e-01)64:6.94040e-02)71:8.87345e-02,MAR_0018965:1.00820e-06)100:6.32585e-01);
OG0002471_100_T1_29	((MAR_0004664:1.0014e-06,(((((((((((COF_0004115:2.0896e-01,SOL_0026517:2.5952e-01)84:4.9298e-02,MIM_0018159:1.8333e-02)98:4.1469e-02,HEL_0037198:7.9248e-02)100:6.2113e-02,ACT_0013401:1.5438e-02)99:3.8759e-02,VIT_0003999:1.8909e-01)84:1.5874e-02,((ARA_0017126:4.3245e-01,POP_0037533:6.4557e-02)97:4.7057e-02,((CEC_0013494:1.6662e-01,(((PHA_0001188:7.7975e-02,GLY_0007631:1.0014e-06)100:4.8238e-02,MED_0038605:1.9108e-01)88:2.6665e-02,(arharahy.Tifrunner.gnm1.Arahy.02g02555:1.0014e-06,ardaradu.V14167.gnm1.Aradu.A02g02676:1.9998e-02)97:4.7717e-03)100:5.1831e-02)100:1.2123e-01,(CUC_0023404:3.1738e-01,PRU_0040338:1.7393e-01)96:2.9078e-02)98:2.7430e-02)97:1.7189e-02)100:6.2244e-02,((((ORY_0001266:7.5315e-02,BRA_0052009:1.2448e-03)100:2.5074e-01,NYM_0033425:2.9689e-01)100:1.0652e-01,ASP_0010975:1.1201e-01)100:8.0549e-02,(LIR_0030062:1.3151e-01,CIN_0005218:1.1064e-01)99:4.4885e-02)100:5.8344e-02)98:5.7215e-02,AQU_0040823:2.5773e-06)100:1.1502e-01,AMB_0015185:2.3216e-01)100:2.4149e-01,GIN_0007647:2.4067e-01)100:4.0806e-01,CER_0030787:5.4035e-04)46:4.6854e-02)99:1.0678e+00,(CHL_0006169:4.5967e-01,DUN_0004086:4.7680e-01)75:3.8542e-01);
OG0004434_65_T1_29	((CHL_0018315:9.4481e-01,DUN_0008915:1.3894e+00)90:2.6093e-01,(((((((AMB_0016167:1.9374e-01,NYM_0032985:1.0086e-06)67:2.4755e-02,((CER_0026622:3.3283e-01,MAR_0012594:5.3226e-01)69:1.7984e-01,GIN_0018790:2.8841e-01)41:7.1602e-02)40:3.9723e-02,((ASP_0003658:1.5813e-01,(ORY_0024759:6.5039e-02,BRA_0046191:2.5988e-06)100:1.8458e-01)100:9.3725e-02,(CIN_0013614:2.4707e-06,LIR_0005661:1.2339e-02)85:1.8272e-02)65:1.2258e-02)40:4.4047e-02,AQU_0017577:2.4726e-01)43:3.6731e-02,((((ARA_0011870:1.2023e-01,POP_0024611:3.9611e-02)83:2.7675e-02,(CUC_0001785:1.6930e-01,PRU_0023077:1.0086e-06)66:6.0036e-03)88:2.0002e-02,(CEC_0017171:8.6198e-02,(((PHA_0003734:4.0465e-02,GLY_0014967:1.7725e-02)100:4.0832e-02,MED_0022048:1.4520e-01)95:1.5883e-02,(ardaradu.V14167.gnm1.Aradu.A01g02308:1.0769e-02,arharahy.Tifrunner.gnm1.Arahy.01g02175:7.9405e-02)99:7.6689e-03)100:2.6201e-02)100:5.6966e-02)94:2.0376e-02,VIT_0014772:1.2794e-01)66:8.1443e-03)39:1.3795e-02,(((COF_0020560:1.3623e-01,SOL_0019544:9.5851e-02)99:2.7877e-02,MIM_0018730:1.2209e-01)91:2.8404e-02,HEL_0033570:2.4272e-01)100:3.3627e-02)43:6.1773e-02,ACT_0030921:2.4759e-02)36:2.0936e-02);
OG0001284_160_T1_28	((CHL_0012870:3.55664e-01,DUN_0007337:4.67603e-01)99:3.08271e-01,(((GIN_0025678:9.37866e-02,(NYM_0008050:0.00000e+00,(((((((COF_0003877:1.51944e-01,MIM_0031014:9.99500e-07)98:1.59672e-02,SOL_0025186:1.04932e-01)100:2.38111e-02,HEL_0048986:7.16097e-03)100:2.26977e-02,ACT_0015019:2.59814e-02)100:2.48760e-02,(((ARA_0011083:9.55860e-02,POP_0000537:0.00000e+00)87:1.75519e-02,(((CEC_0031775:6.32605e-02,(((GLY_0022103:9.99500e-07,PHA_0001570:9.99500e-07)100:2.88746e-02,MED_0017131:8.48255e-02)100:1.21672e-02,(LOC107638393:9.99500e-07,arharahy.Tifrunner.gnm1.Arahy.14g00052:9.99500e-07)100:5.56548e-03)100:1.69380e-02)100:7.96009e-02,CUC_0025136:2.04508e-01)84:1.20859e-02,PRU_0031845:9.99500e-07)81:9.76100e-03)86:2.00637e-02,VIT_0028904:4.98069e-02)86:8.05059e-03)89:5.56124e-02,AQU_0019549:0.00000e+00)89:2.81943e-02,((ASP_0018617:2.11065e-01,(ORY_0022044:6.60945e-02,BRA_0053929:9.99500e-07)100:9.40038e-02)100:7.17866e-02,(CIN_0017466:1.36946e-01,LIR_0007127:0.00000e+00)100:2.23298e-02)91:1.12703e-02)89:3.61264e-02)88:2.44698e-02)93:1.34661e-01,CER_0027469:9.99500e-07)89:6.34386e-02,MAR_0005436:9.99500e-07)72:7.63878e-02);
OG0001259_162_T1_29	((CHL_0004292:3.3752e-01,DUN_0008883:4.8434e-01)100:6.1428e-01,((CER_0061482:0.0000e+00,MAR_0003640:1.0670e-06)70:3.7998e-02,(((AMB_0008470:2.2779e-01,NYM_0008025:0.0000e+00)82:2.8500e-02,(((CIN_0005216:1.4186e-01,LIR_0043491:0.0000e+00)60:1.4290e-02,(AQU_0015004:1.0670e-06,((((ARA_0024818:9.2330e-02,POP_0027697:0.0000e+00)100:4.4074e-02,(((CEC_0022175:7.3917e-02,(((GLY_0049276:0.0000e+00,PHA_0011971:1.0670e-06)100:2.2907e-02,MED_0009662:8.7337e-02)96:1.6152e-02,(LOC107613520:1.0670e-06,arharahy.Tifrunner.gnm1.Arahy.18g01161:1.0670e-06)100:5.1951e-03)100:3.2048e-02)100:8.1640e-02,CUC_0020998:1.0670e-06)98:2.5003e-02,PRU_0021149:2.4716e-06)100:2.5919e-02)100:3.3650e-02,VIT_0024004:1.0491e-01)75:8.9010e-03,(((COF_0014279:1.5501e-01,(MIM_0031203:1.0670e-06,SOL_0000684:1.0221e-01)95:2.6953e-02)98:6.4243e-02,HEL_0038919:1.0670e-06)92:1.4433e-02,ACT_0009627:1.9440e-02)95:2.9598e-02)98:6.1990e-02)100:6.1048e-02)71:1.6803e-02,(ASP_0024647:1.8935e-01,(ORY_0005612:1.0410e-01,BRA_0027794:1.0670e-06)100:2.6406e-01)98:3.7164e-02)100:7.5641e-02)100:1.7721e-01,GIN_0002454:1.7698e-01)97:1.0716e-01)89:5.2017e-02);
OG0002437_101_T1_29	((CHL_0004281:2.2237e-01,DUN_0018648:3.4971e-01)100:1.7449e-01,(MAR_0007853:3.9821e-01,((GIN_0012549:2.1013e-01,((ASP_0020125:2.1225e-01,(BRA_0053216:8.5073e-02,ORY_0023141:7.8433e-02)100:1.9320e-01)56:2.4948e-02,((CIN_0026507:9.4405e-02,LIR_0043593:0.0000e+00)93:3.3971e-02,(((AMB_0001576:1.3682e-01,NYM_0001826:4.3191e-01)44:6.1119e-02,AQU_0022778:2.0523e-01)31:1.7388e-02,((((COF_0003393:1.3041e-01,SOL_0004034:1.4501e-01)96:1.9492e-02,HEL_0002313:7.7863e-02)92:2.4255e-02,MIM_0009381:1.9907e-01)38:1.4530e-02,((((ARA_0017269:2.4768e-01,CUC_0008956:1.7153e-01)66:2.1092e-02,POP_0039747:9.1367e-02)91:2.9886e-02,((CEC_0012280:5.9918e-02,(((PHA_0005413:3.7517e-02,GLY_0061566:1.0028e-06)100:2.5661e-02,MED_0022600:7.6950e-02)91:9.6073e-03,(LOC107645984:1.0028e-06,arharahy.Tifrunner.gnm1.scaffold_301g00001:4.3722e-02)100:3.9678e-03)100:3.0338e-02)100:7.6571e-02,PRU_0027473:1.3286e-01)86:1.8676e-02)72:1.4240e-02,(VIT_0025868:9.6868e-02,ACT_0006132:2.4817e-06)95:1.1626e-02)62:1.5122e-02)68:6.2970e-02)24:1.3417e-02)36:4.0332e-02)86:1.0400e-01)99:1.5360e-01,CER_0038727:1.0028e-06)81:6.5343e-02)89:1.5506e-01);
OG0008026_40_T1_29	((CHL_0002245:7.9265e-01,DUN_0006270:1.4344e+00)100:1.0028e+00,(CUC_0028765:1.0831e-01,((ARA_0016098:2.5377e-01,(CER_0056533:8.8623e-01,(GIN_0005665:1.4328e-01,MAR_0021230:1.0000e-06)28:1.4468e-01)54:1.6884e-01)32:4.6688e-02,((CEC_0005270:8.6864e-02,(((PHA_0028533:8.3640e-02,GLY_0010260:2.9844e-06)98:1.7102e-02,(LOC107645657:1.0000e-06,arharahy.Tifrunner.gnm1.Arahy.16g00752:1.0000e-06)98:1.8539e-03)85:1.9117e-02,MED_0036576:1.0119e-01)100:7.2341e-02)99:7.7722e-02,(POP_0002327:1.2618e-01,((VIT_0021395:1.3190e-01,(((((AMB_0007751:2.5616e-01,NYM_0024792:2.4045e-01)86:5.9958e-02,(ASP_0018273:2.0379e-01,(BRA_0036381:5.2666e-02,ORY_0015209:1.4426e-01)100:2.9821e-01)97:1.1615e-01)77:4.3366e-02,(CIN_0008476:1.0349e-01,LIR_0008502:2.2824e-06)100:7.0094e-02)76:3.5675e-02,AQU_0000381:2.1133e-01)79:4.7124e-02,((HEL_0036484:2.5018e-01,MIM_0006923:2.2183e-01)71:2.9176e-02,(COF_0002180:2.7459e-01,(ACT_0016563:1.5083e-01,SOL_0027103:2.3411e-01)91:3.8692e-02)55:1.9138e-02)65:2.6292e-02)59:1.0688e-02)51:1.8345e-02,PRU_0033075:1.0000e-06)44:8.2467e-03)56:1.5663e-02)64:2.4082e-02)44:1.6112e-01)100:1.0028e+00);
OG0002466_100_T1_29	((CHL_0016270:4.3022e-01,DUN_0000716:3.4048e-01)100:2.2371e-01,((((((((MAR_0023080:2.9247e-01,CER_0018383:1.0000e-06)55:7.7464e-02,GIN_0009844:7.3445e-02)57:9.0205e-02,NYM_0019285:0.0000e+00)56:6.4570e-02,AQU_0040638:1.0000e-06)52:1.9391e-02,((BRA_0013152:8.3409e-02,ORY_0029485:8.8340e-02)100:9.6501e-02,ASP_0017601:8.5168e-02)99:7.3277e-02)35:1.0142e-02,(CIN_0018377:2.8588e-06,LIR_0027436:0.0000e+00)97:1.6257e-02)46:3.3151e-02,(((CEC_0023747:3.6101e-01,((GLY_0066146:1.0106e-01,(PHA_0017701:2.2483e-01,(LOC107641168:1.9303e-03,arharahy.Tifrunner.gnm1.Arahy.15g03009:1.0000e-06)100:1.9552e-02)67:7.8453e-02)66:4.9708e-02,MED_0034347:1.0000e-06)45:1.9736e-02)72:9.4961e-03,(CUC_0013090:2.4289e-01,PRU_0027374:2.4481e-01)92:3.0086e-02)87:1.4481e-02,(((POP_0013548:7.6887e-02,ARA_0018449:9.9400e-02)50:2.6689e-02,((MIM_0005489:1.0000e-06,SOL_0020294:7.7425e-02)69:3.3401e-02,COF_0016691:4.8507e-02)54:4.0535e-02)39:2.8255e-02,((VIT_0005632:6.7837e-02,HEL_0009398:5.0663e-02)56:2.7810e-02,ACT_0034597:3.3737e-02)54:1.4428e-02)52:8.7432e-03)55:2.9919e-02)26:5.8812e-02,AMB_0010071:6.5562e-02)100:2.2371e-01);
