tre_name	single_copy_tree
OG0004492_64_T1_30	((CHL_0014288:1.2514e+00,DUN_0013776:1.0384e+00)100:8.2325e-01,(((GIN_0020486:2.9600e-01,(AMB_0016339:2.7343e-01,(NYM_0016113:3.8269e-01,((ASP_0021892:2.1627e-01,(BRA_0004656:1.2735e-01,ORY_0035739:1.2083e-01)100:3.0832e-01)100:8.7314e-02,((CIN_0023295:1.6133e-01,LIR_0013301:1.0015e-06)100:5.1975e-02,(((((ARA_0002885:3.3106e-01,POP_0017776:0.0000e+00)85:3.1910e-02,((CEC_0023159:5.9528e-02,(((GLY_0053475:0.0000e+00,PHA_0025668:1.0015e-06)100:3.5783e-02,MED_0026941:9.4696e-02)100:1.9407e-02,((LOC107605659:1.0015e-06,arharahy.Tifrunner.gnm1.Arahy.06g03291:4.3252e-04)99:4.9039e-03,ardaradu.V14167.gnm1.Aradu.A06g03564:8.5191e-03)100:1.6406e-01)100:7.0965e-02)100:1.0173e-01,(CUC_0021204:1.0015e-06,PRU_0041113:0.0000e+00)87:1.4373e-02)100:2.9631e-02)88:2.7099e-02,VIT_0010118:1.0573e-01)81:1.1959e-02,(ACT_0001182:1.3500e-01,(((COF_0002261:1.8265e-01,SOL_0011729:2.1805e-01)90:2.4461e-02,MIM_0005316:0.0000e+00)93:4.4872e-02,HEL_0040739:3.0997e-01)81:2.6814e-02)99:3.6098e-02)100:9.7668e-02,AQU_0032971:0.0000e+00)100:5.1307e-02)58:1.1604e-02)100:6.5766e-02)84:3.3284e-02)100:1.9643e-01)99:1.7560e-01,CER_0058588:1.0015e-06)100:3.1294e-01,MAR_0016854:0.0000e+00)100:8.2325e-01);
OG0002506_99_T1_30	((CHL_0007019:2.9284e-01,DUN_0017410:3.0803e-06)100:3.5540e-01,(MAR_0022927:3.7153e-01,(CER_0064408:1.0985e-06,(GIN_0010639:8.0504e-02,(AMB_0018330:2.5299e-01,(((((ORY_0002257:8.4348e-02,BRA_0051828:9.7705e-03)100:2.6132e-01,ASP_0021431:4.4923e-04)100:1.6878e-01,(CIN_0023363:1.4210e-01,LIR_0013275:1.0985e-06)100:5.2070e-02)80:7.7383e-03,(((((ARA_0004172:3.2588e-01,CUC_0005568:2.2498e-01)45:4.4890e-02,(((CEC_0026411:8.4134e-02,((PHA_0023074:5.5668e-02,GLY_0054074:2.2369e-02)100:2.8731e-02,((LOC107623428:7.3506e-04,(ardaradu.V14167.gnm1.Aradu.A10g01257:2.0241e-02,arharahy.Tifrunner.gnm1.Arahy.10g01162:7.0848e-04)100:1.5750e-02)100:1.0820e-01,MED_0005749:1.2319e-01)43:1.5439e-02)100:4.8016e-02)100:9.8427e-02,PRU_0014451:1.0985e-06)51:2.4829e-02,POP_0029665:2.4506e-02)26:5.0722e-03)90:2.3494e-02,VIT_0024524:1.2234e-01)75:1.1789e-02,(((SOL_0013296:2.0220e-01,COF_0000520:6.2522e-03)99:3.2789e-02,(HEL_0044586:2.7488e-01,MIM_0008736:2.5889e-01)89:4.4234e-02)90:3.5628e-02,ACT_0033201:2.8673e-03)87:2.6531e-02)100:6.1172e-02,AQU_0036030:1.0985e-06)100:4.7600e-02)100:7.0326e-02,NYM_0043145:0.0000e+00)82:3.0438e-02)100:2.3102e-01)63:3.7847e-02)91:1.0476e-01)100:3.5540e-01);
OG0004376_65_T1_30	((CHL_0018660:2.1532e-01,DUN_0015092:3.1267e-01)100:3.1952e-01,(MAR_0006504:1.3595e-01,(CER_0042437:1.0797e-06,(GIN_0016369:3.0078e-01,((NYM_0016943:2.4733e-01,AMB_0018292:3.1301e-02)86:2.0232e-02,((ASP_0020916:2.2420e-01,(ORY_0018644:6.0573e-02,BRA_0046964:3.3709e-04)100:1.3692e-01)100:9.7800e-02,((CIN_0018833:1.5279e-01,LIR_0042486:1.0797e-06)100:4.1004e-02,((((ACT_0015394:1.5991e-01,HEL_0036839:1.0694e-01)59:3.0171e-02,(COF_0012125:9.7695e-02,(MIM_0025764:1.9499e-02,SOL_0018433:3.7924e-02)86:2.2781e-02)53:3.7400e-03)100:3.5250e-02,(((ARA_0021430:2.1322e-01,POP_0013393:1.0797e-06)59:1.7516e-02,(((CEC_0021380:6.2618e-02,(((PHA_0021678:4.6162e-02,GLY_0000100:1.0797e-06)100:3.7588e-02,MED_0038069:5.0681e-02)96:1.0285e-02,((LOC107630358:1.0797e-06,arharahy.Tifrunner.gnm1.Arahy.13g02462:5.4357e-03)100:2.4343e-03,ardaradu.V14167.gnm1.Aradu.A03g02083:4.8931e-03)100:8.5942e-02)100:3.5096e-02)100:5.6985e-02,CUC_0027830:2.4823e-06)59:1.1466e-02,PRU_0004821:0.0000e+00)61:1.4319e-02)83:1.0692e-02,VIT_0018749:1.0985e-01)52:2.4454e-03)100:3.2287e-02,AQU_0014155:1.0797e-06)100:3.2246e-02)83:1.3779e-02)100:4.0317e-02)97:6.2228e-02)91:3.4041e-02)99:1.3267e-01)100:3.1952e-01);
OG0004506_64_T1_30	((MAR_0011900:2.9507e-01,((GIN_0017793:2.0116e-01,(AMB_0002743:2.9156e-01,(NYM_0029359:1.4117e-02,(((CIN_0011912:1.3983e-01,LIR_0013297:1.3059e-03)99:4.5880e-02,((((ARA_0017113:3.2175e-01,POP_0006563:1.1429e-06)99:2.8990e-02,((CEC_0006429:8.1051e-02,((GLY_0035863:3.7268e-02,PHA_0024550:6.1802e-02)100:3.7028e-02,(MED_0020873:1.2752e-01,((LOC107625463:2.8133e-04,arharahy.Tifrunner.gnm1.Arahy.12g01931:1.1429e-06)66:4.9221e-03,ardaradu.V14167.gnm1.Aradu.A06g03299:3.1872e-02)47:1.2200e-06)52:9.4498e-03)100:4.5648e-02)100:8.9567e-02,(CUC_0025672:2.3353e-01,PRU_0027002:1.1429e-06)75:1.7309e-02)99:1.6049e-02)100:3.5574e-02,(VIT_0002771:1.3242e-01,(ACT_0005121:1.4846e-01,(((COF_0016282:1.7544e-01,SOL_0018230:1.8638e-01)66:2.1869e-02,MIM_0022023:2.2850e-01)100:3.8808e-02,HEL_0003411:3.0898e-01)99:2.5643e-02)100:4.1564e-02)82:1.4989e-02)100:6.1254e-02,AQU_0001170:1.1429e-06)100:4.8332e-02)94:2.8650e-02,(ASP_0000979:2.9746e-01,(ORY_0030108:2.3149e-01,BRA_0002833:1.1429e-06)99:1.0824e-01)52:9.9938e-03)71:3.3035e-02)57:2.7778e-03)99:9.8482e-02)100:1.1944e-01,CER_0036851:1.1429e-06)97:1.3146e-01)100:3.2602e-01,(CHL_0018025:3.2388e-01,DUN_0009399:2.2947e-01)98:8.1503e-02);
OG0004443_65_T1_30	((CHL_0010313:4.7275e-01,DUN_0006872:4.5754e-01)100:4.4762e-01,((CER_0007913:0.0000e+00,(GIN_0006481:2.2311e-01,(((((CIN_0010409:1.0199e-01,LIR_0042225:9.2395e-02)99:2.9716e-02,(AQU_0021294:1.3493e-01,((((((ARA_0018276:2.4531e-01,POP_0031013:1.0470e-06)70:1.9304e-02,PRU_0036057:1.0470e-06)31:6.7588e-03,((CEC_0031458:6.9002e-02,(((PHA_0000180:4.4274e-02,GLY_0022388:1.0470e-06)100:3.7406e-02,MED_0017554:2.6127e-06)80:1.2163e-02,(LOC107618487:1.6813e-03,(ardaradu.V14167.gnm1.Aradu.A09g00296:1.3857e-02,arharahy.Tifrunner.gnm1.Arahy.09g00300:2.3922e-02)95:2.0595e-03)100:7.6142e-02)100:3.5063e-02)100:6.4844e-02,CUC_0004393:1.0470e-06)49:1.1816e-02)98:1.9380e-02,VIT_0028758:1.1084e-01)86:6.8160e-03,((COF_0011531:1.4286e-01,(MIM_0010147:1.5334e-01,SOL_0029669:1.6673e-01)99:3.7508e-02)94:1.6845e-02,HEL_0005821:3.0905e-06)91:1.4171e-02)57:9.9517e-03,ACT_0035565:1.7320e-02)98:5.1785e-02)56:1.8801e-02)51:1.1069e-02,(ASP_0022700:1.2460e-01,(ORY_0016546:5.5416e-02,BRA_0042200:0.0000e+00)100:1.8204e-01)96:5.5147e-02)84:3.0241e-02,AMB_0010288:2.5695e-03)78:1.7403e-02,NYM_0008567:1.0470e-06)96:9.1796e-02)83:1.8956e-02)95:1.6054e-01,MAR_0020958:1.0470e-06)100:4.4762e-01);
OG0007937_40_T1_30	((CHL_0002665:4.3288e-01,DUN_0001164:7.6698e-01)100:6.0725e-01,(MAR_0014303:4.2084e-01,(CER_0061077:3.5624e-01,(GIN_0005934:1.5410e-01,(AMB_0012411:1.0923e-01,(((CIN_0015242:9.5637e-02,LIR_0045792:8.1879e-02)96:2.1722e-02,((ASP_0016634:1.7053e-01,(BRA_0001144:5.5354e-02,ORY_0018808:7.0849e-02)100:1.4687e-01)73:5.5162e-02,(AQU_0027654:9.8488e-02,((((ARA_0022118:2.1431e-01,(CUC_0028197:1.2237e-01,PRU_0004774:1.1837e-03)74:1.9376e-02)76:1.8311e-02,(CEC_0021273:4.9204e-02,(((PHA_0014873:3.2889e-02,GLY_0056291:1.0000e-06)98:1.9706e-02,MED_0039000:7.4960e-02)66:1.0089e-02,((LOC107613437:2.0546e-02,arharahy.Tifrunner.gnm1.Arahy.18g02554:1.0000e-06)69:2.7187e-06,ardaradu.V14167.gnm1.Aradu.A08g02259:5.3049e-02)100:7.4479e-02)100:3.0508e-02)100:6.5483e-02)39:3.8787e-03,((((COF_0008818:1.2842e-01,SOL_0002903:1.2041e-01)66:1.6015e-02,MIM_0004980:2.4877e-06)94:3.6988e-02,VIT_0004540:7.3654e-02)62:1.0710e-02,(ACT_0003325:1.1187e-01,HEL_0003955:1.7660e-01)49:6.3743e-03)44:1.2651e-02)57:8.3753e-03,POP_0044141:1.0000e-06)100:4.5860e-02)81:2.8527e-02)52:2.4535e-02)52:4.7123e-02,NYM_0014173:1.0000e-06)44:2.4868e-02)95:1.2787e-01)99:1.8080e-01)80:1.3581e-01)100:6.0725e-01);
OG0001312_158_T1_30	((CHL_0018972:4.6326e-01,DUN_0014541:7.1862e-01)100:5.1658e-01,((MAR_0016653:6.0760e-01,CER_0001776:0.0000e+00)99:1.8822e-01,(GIN_0020606:2.9362e-01,((AMB_0010830:4.6579e-01,NYM_0021735:1.0351e-06)99:8.7592e-02,(((ASP_0025316:3.5536e-01,(ORY_0020545:1.3696e-01,BRA_0007334:1.0351e-06)100:2.8863e-01)99:6.6904e-02,(CIN_0027662:1.5145e-01,LIR_0019471:1.0351e-06)96:2.8655e-02)56:3.1914e-02,(((((((((CEC_0025182:1.0874e-01,(((GLY_0030350:0.0000e+00,PHA_0030083:1.0351e-06)88:5.7531e-03,(LOC107617270:8.3201e-03,(ardaradu.V14167.gnm1.Aradu.A01g00300:1.9354e-02,arharahy.Tifrunner.gnm1.Arahy.11g00635:9.5746e-04)82:4.4909e-03)83:5.4713e-03)92:7.3878e-03,MED_0013099:1.4134e-01)100:2.4622e-02)100:7.9433e-02,CUC_0001835:6.0897e-03)99:3.7069e-02,(PRU_0018486:2.1596e-01,POP_0027544:2.5059e-06)99:3.9475e-02)80:1.2833e-02,ARA_0022996:1.6078e-01)97:3.1950e-02,VIT_0023497:1.7618e-01)97:1.8745e-02,ACT_0024289:2.9709e-02)57:2.2031e-02,((COF_0014452:2.1659e-01,SOL_0000188:1.6504e-01)97:4.0380e-02,MIM_0031354:1.0351e-06)96:5.1691e-02)62:2.3440e-02,HEL_0038262:2.1228e-06)100:5.8217e-02,AQU_0028090:6.3374e-03)83:1.4460e-02)98:8.7994e-02)79:4.3478e-02)73:1.2162e-01)100:5.1658e-01);
OG0002498_99_T1_29	((CHL_0005276:7.96802e-01,DUN_0008176:6.58345e-01)100:2.86756e-01,(((AMB_0016014:1.83333e-01,((CER_0071462:1.02140e-06,MAR_0010109:2.56810e-06)100:1.70097e-01,GIN_0023528:1.76262e-01)100:1.53341e-01)90:2.79015e-02,NYM_0023786:2.27438e-03)91:2.48398e-02,(((((((CUC_0020372:1.56757e-01,ARA_0003504:7.58195e-02)58:2.31680e-02,((CEC_0030853:5.74320e-02,(((GLY_0066140:1.02140e-06,PHA_0019006:1.02140e-06)100:2.19641e-02,MED_0034335:1.02140e-06)100:1.02288e-02,(LOC107639785:1.02140e-06,arharahy.Tifrunner.gnm1.Arahy.14g02642:8.59443e-03)56:1.02150e-06)100:1.64841e-02)100:7.51005e-02,POP_0017626:1.02140e-06)49:7.52257e-03)44:4.74883e-03,PRU_0002156:1.02140e-06)100:2.46751e-02,(VIT_0011608:1.02900e-01,(((COF_0009246:1.30296e-01,(SOL_0024684:1.64527e-01,MIM_0012895:1.02140e-06)93:1.46549e-02)96:1.51393e-02,HEL_0010907:1.23898e-01)100:1.25942e-02,ACT_0010095:1.22734e-02)100:2.57664e-02)78:5.37040e-03)100:5.43465e-02,AQU_0019931:1.02140e-06)87:3.74993e-02,(CIN_0000808:1.18362e-01,LIR_0005235:0.00000e+00)85:7.82255e-03)53:9.86957e-03,(ASP_0009171:7.94635e-05,(ORY_0022857:1.08860e-01,BRA_0053801:1.85216e-04)100:9.49823e-02)85:2.28253e-02)48:2.81418e-02)100:2.34406e+00);
OG0008047_40_T1_30	((CHL_0010851:3.3243e-01,DUN_0004523:4.1412e-01)100:1.6559e-01,(MAR_0020891:2.6666e-01,(CER_0057988:3.6643e-01,((AMB_0002957:1.7609e-01,NYM_0006850:2.1474e-01)50:1.7008e-02,((AQU_0028918:2.5314e-01,((CIN_0017309:1.3947e-01,LIR_0044845:2.6383e-06)87:4.4326e-02,(SOL_0018030:2.0549e-01,((((((ARA_0020568:1.2769e-01,HEL_0049805:6.4874e-02)75:4.9282e-02,(ASP_0004189:3.1794e-01,(BRA_0020025:1.0468e-01,ORY_0037395:6.1710e-02)100:2.3722e-01)51:4.0851e-02)28:1.2667e-02,(COF_0016920:2.2305e-01,MIM_0020137:2.2137e-01)50:1.8210e-02)48:2.7286e-02,((PRU_0006585:1.5642e-01,CUC_0001047:1.0000e-06)80:5.4413e-02,VIT_0003927:1.4075e-01)34:7.7081e-03)29:1.3638e-02,(((CEC_0006746:1.0047e-01,((PHA_0029036:6.3611e-02,GLY_0068529:9.5488e-03)95:2.7845e-02,(LOC107604960:1.0532e-01,(ardaradu.V14167.gnm1.Aradu.A06g02470:1.0000e-06,arharahy.Tifrunner.gnm1.Arahy.06g02361:1.7999e-03)77:2.2346e-06)100:9.7446e-02)99:4.5329e-02)66:1.5867e-02,MED_0034954:8.3159e-02)100:8.5895e-02,POP_0050422:6.6161e-02)75:3.7803e-02)29:4.3588e-03,ACT_0032399:3.3778e-02)42:2.2025e-02)30:3.0929e-02)43:3.4402e-02)69:1.8655e-02,GIN_0018371:2.9204e-02)51:2.4401e-02)94:9.3611e-02)99:9.4521e-02)100:1.6559e-01);
OG0008173_39_T1_30	(((MAR_0010058:2.3886e-01,((GIN_0015234:5.0233e-01,((AMB_0011166:2.5356e-01,(((ASP_0000307:3.2771e-01,(BRA_0025552:8.0530e-02,ORY_0027224:8.2571e-02)100:2.2732e-01)93:8.9991e-02,(CIN_0002253:1.2647e-01,LIR_0025538:7.0862e-02)99:5.3765e-02)56:2.7120e-02,(AQU_0036683:1.9029e-01,((((ARA_0020388:4.1022e-01,CUC_0002153:1.2215e-01)40:4.2989e-02,((CEC_0028233:1.2101e-01,(((PHA_0032054:4.5325e-02,GLY_0031111:1.9712e-02)99:3.5203e-02,MED_0007454:1.0332e-01)97:1.9185e-02,(LOC107638762:2.4025e-03,(ardaradu.V14167.gnm1.Aradu.A04g00645:2.0431e-03,arharahy.Tifrunner.gnm1.Arahy.04g00678:8.1954e-02)100:5.2944e-03)100:8.8386e-02)99:4.2358e-02)99:7.9495e-02,(PRU_0019271:9.7394e-02,POP_0007709:2.9944e-02)70:3.2092e-02)32:1.2038e-02)74:2.6667e-02,(HEL_0018531:2.5303e-01,(ACT_0019569:1.2043e-01,((COF_0020882:1.8044e-01,MIM_0033434:1.7410e-01)97:1.7586e-02,SOL_0011048:1.7423e-01)92:4.7042e-02)36:1.5748e-02)55:2.1563e-06)76:1.5544e-02,VIT_0017658:3.1902e-02)76:6.9795e-03)70:2.9444e-02)58:4.5911e-02)58:3.3595e-02,NYM_0020610:2.3808e-06)76:5.2184e-02)90:1.6242e-01,CER_0005172:9.8543e-03)66:1.1224e-01)100:1.4209e+00,CHL_0015902:2.2610e-06)100:2.5006e-01,DUN_0006856:2.2245e-06);
