tree_ID	gd_ID	gd_support	level	species	gene1	gene2	loss_path	left_gene_n	right_gene_n	loss_type	left_has	right_has	loss_confidence	major_loss_class	path_count_node_events	path_count_types	path_count_2_0	path_count_2_1	path_count_1_0
OG0000622_254	1	97.0	S1	BRA	BRA_0011993	BRA_0017726	S1(2)->BRA(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000622_254	1	97.0	S1	ORY	ORY_0028906	ORY_0027410	S1(2)->ORY(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000622_254	2	100.0	S13	ARD	ardaradu.V14167.gnm1.Aradu.A09g03327	NA	S13(2)->ARD(1)	1	0	2-1	1	0	observable	loss_one_copy	S13|2-1	2-1	0	1	0
OG0000622_254	2	100.0	S13	ARH	arharahy.Tifrunner.gnm1.Arahy.09g03166	arharahy.Tifrunner.gnm1.Arahy.19g03447	S13(2)->S12(2)->ARH(2)	2	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000622_254	2	100.0	S13	ARI	LOC107619373	LOC107619374	S13(2)->S12(2)->ARI(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000622_254	3	100.0	S1	BRA	BRA_0029697	BRA_0056533	S1(2)->BRA(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000622_254	3	100.0	S1	ORY	ORY_0005236	ORY_0023195	S1(2)->ORY(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	4	95.0	S1	BRA	BRA_0005690	BRA_0026471	S1(2)->BRA(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	4	95.0	S1	ORY	ORY_0020018	ORY_0007609	S1(2)->ORY(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	5	100.0	S1	BRA	BRA_0028228	BRA_0045447	S1(2)->BRA(2)	1	4	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	5	100.0	S1	ORY	ORY_0005275	ORY_0024258	S1(2)->ORY(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	6	95.0	S1	BRA	BRA_0026471	BRA_0028228	S1(2)->BRA(2)	2	5	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	6	95.0	S1	ORY	ORY_0020018	ORY_0024258	S1(2)->ORY(2)	2	2	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	7	100.0	S1	BRA	BRA_0024912	BRA_0030563	S1(2)->BRA(2)	3	2	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	7	100.0	S1	ORY	ORY_0007525	ORY_0025712	S1(2)->ORY(2)	1	3	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	8	92.0	S1	BRA	BRA_0026471	BRA_0024912	S1(2)->BRA(2)	7	5	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	8	92.0	S1	ORY	ORY_0020018	ORY_0025712	S1(2)->ORY(2)	4	4	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	9	59.0	S2	ASP	ASP_0017141	ASP_0018184	S2(2)->ASP(2)	5	3	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	9	59.0	S2	BRA	BRA_0032676	BRA_0024912	S2(2)->S1(2)->BRA(2)	3	12	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	9	59.0	S2	ORY	ORY_0013425	ORY_0020018	S2(2)->S1(2)->ORY(2)	1	8	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	10	100.0	S14	ARD	ardaradu.V14167.gnm1.Aradu.A06g02019	ardaradu.V14167.gnm1.Aradu.A02g03006	S14(2)->S13(2)->ARD(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	10	100.0	S14	ARH	arharahy.Tifrunner.gnm1.Arahy.06g01993	arharahy.Tifrunner.gnm1.Arahy.12g03356	S14(2)->S13(2)->S12(2)->ARH(2)	5	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	10	100.0	S14	ARI	LOC107647031	LOC107628609	S14(2)->S13(2)->S12(2)->ARI(2)	1	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	10	100.0	S14	GLY	GLY_0069704	GLY_0035575	S14(2)->S11(2)->S10(2)->GLY(2)	4	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	10	100.0	S14	MED	MED_0036206	MED_0002756	S14(2)->S11(2)->MED(2)	2	1	2-2	1	1	observable	no_loss	NA	NA	0	0	0
OG0000629_253	10	100.0	S14	PHA	PHA_0025988	PHA_0024998	S14(2)->S11(2)->S10(2)->PHA(2)	1	2	2-2	1	1	observable	no_loss	NA	NA	0	0	0
