tre_name	single_copy_tree
OG0004506_64_T1_30	((MAR_0011900:0.295075,((GIN_0017793:0.201158,(AMB_0002743:0.29156,(NYM_0002524:0.0272571,(((CIN_0011912:0.139827,LIR_0013297:0.00130591)99:0.0458801,((((ARA_0017113:0.321751,POP_0006563:1.1429e-06)99:0.0289898,((CEC_0006429:0.0810511,((GLY_0035863:0.0372684,PHA_0024550:0.0618024)100:0.0370285,(MED_0020873:0.127522,((LOC107625463:0.000281332,arharahy.Tifrunner.gnm1.Arahy.12g01931:1.1429e-06)66:0.00492209,ardaradu.V14167.gnm1.Aradu.A06g03299:0.0318716)47:1.22e-06)52:0.00944985)100:0.0456479)100:0.0895673,(CUC_0025672:0.23353,PRU_0027002:1.1429e-06)75:0.0173089)99:0.0160487)100:0.0355735,(VIT_0002771:0.132417,(ACT_0005121:0.148457,(((COF_0016282:0.175442,SOL_0018230:0.186378)66:0.021869,MIM_0022023:0.228501)100:0.0388083,HEL_0003411:0.308981)99:0.0256432)100:0.0415644)82:0.0149888)100:0.0612535,AQU_0001170:1.1429e-06)100:0.0483324)94:0.0286495,(ASP_0000979:0.29746,(ORY_0030108:0.231489,BRA_0002833:1.1429e-06)99:0.108241)52:0.00999382)71:0.0330349)57:0.00277781)99:0.0984821)100:0.119445,CER_0036851:1.1429e-06)97:0.131465)100:0.326021,(CHL_0018025:0.323876,DUN_0009399:0.229468)98:0.0815027);
OG0004376_65_T1_30	((CHL_0018660:0.215315,DUN_0015092:0.312667)100:0.31952,(MAR_0006504:0.135946,(CER_0042437:1.0797e-06,(GIN_0016369:0.300778,((NYM_0016943:0.247329,AMB_0012096:0.0745124)86:0.0202319,((ASP_0020916:0.224205,(ORY_0018644:0.0605733,BRA_0046964:0.000337094)100:0.136921)100:0.0978004,((CIN_0018833:0.152789,LIR_0042486:1.0797e-06)100:0.0410038,((((ACT_0015394:0.15991,HEL_0009381:0.0559138)59:0.0301712,(COF_0012125:0.0976947,(MIM_0025764:0.0194995,SOL_0018115:0.062929)86:0.022781)53:0.00374)100:0.0352503,(((ARA_0021430:0.213225,POP_0013393:1.0797e-06)59:0.0175164,(((CEC_0021380:0.0626185,(((PHA_0021678:0.0461616,GLY_0000100:1.0797e-06)100:0.0375875,MED_0000846:0.0530724)96:0.0102855,((LOC107630358:1.0797e-06,arharahy.Tifrunner.gnm1.Arahy.13g02462:0.00543568)100:0.00243432,ardaradu.V14167.gnm1.Aradu.A03g02083:0.00489305)100:0.0859421)100:0.0350956)100:0.0569846,CUC_0027830:2.4823e-06)59:0.0114665,PRU_0004821:0)61:0.014319)83:0.0106918,VIT_0018749:0.109854)52:0.00244542)100:0.0322869,AQU_0014155:1.0797e-06)100:0.0322458)83:0.0137792)100:0.0403168)97:0.0622276)91:0.034041)99:0.132665)100:0.31952);
OG0002506_99_T1_30	((CHL_0007019:0.29284,DUN_0017410:3.0803e-06)100:0.355397,(MAR_0022927:0.37153,(CER_0064408:1.0985e-06,(GIN_0010639:0.0805037,(AMB_0018330:0.252993,(((((ORY_0002257:0.084348,BRA_0051828:0.00977051)100:0.261318,ASP_0020954:0.277346)100:0.16878,(CIN_0023363:0.142099,LIR_0013275:1.0985e-06)100:0.0520703)80:0.00773834,(((((ARA_0004172:0.325882,CUC_0005568:0.224981)45:0.0448902,(((CEC_0026411:0.0841338,((PHA_0023074:0.055668,GLY_0049947:0.0218115)100:0.0287311,((LOC107623428:0.000735061,(ardaradu.V14167.gnm1.Aradu.A10g01257:0.0202407,arharahy.Tifrunner.gnm1.Arahy.10g01162:0.000708477)100:0.0157501)100:0.108202,MED_0005749:0.123187)43:0.0154392)100:0.0480156)100:0.0984269,PRU_0014451:1.0985e-06)51:0.0248288,POP_0023455:0.0901658)26:0.00507218)90:0.0234943,VIT_0024524:0.122339)75:0.0117887,(((SOL_0013296:0.202203,COF_0000520:0.00625217)99:0.0327892,(HEL_0044586:0.274882,MIM_0008736:0.258889)89:0.0442335)90:0.0356284,ACT_0016169:0.0263565)87:0.0265313)100:0.0611724,AQU_0036030:1.0985e-06)100:0.0476)100:0.070326,NYM_0043145:0)82:0.0304376)100:0.231022)63:0.0378466)91:0.104758)100:0.355397);
OG0008173_39_T1_30	(((MAR_0010058:0.238858,((GIN_0015234:0.502329,((AMB_0011166:0.253565,(((ASP_0000307:0.327715,(BRA_0025552:0.0805303,ORY_0027224:0.082571)100:0.227323)93:0.0899914,(CIN_0002253:0.126471,LIR_0025538:0.0708616)99:0.0537653)56:0.0271197,(AQU_0036683:0.190294,((((ARA_0020388:0.410221,CUC_0002153:0.122155)40:0.0429892,((CEC_0028233:0.121006,(((PHA_0032054:0.0453253,GLY_0031111:0.0197122)99:0.0352029,MED_0007454:0.103324)97:0.0191852,(LOC107638762:0.00240254,(ardaradu.V14167.gnm1.Aradu.A04g00645:0.00204307,arharahy.Tifrunner.gnm1.Arahy.04g00678:0.0819536)100:0.00529439)100:0.0883858)99:0.0423583)99:0.0794946,(PRU_0019271:0.0973945,POP_0007709:0.0299444)70:0.0320919)32:0.0120378)74:0.0266669,(HEL_0018531:0.253032,(ACT_0019569:0.120432,((COF_0020882:0.180435,MIM_0033434:0.174097)97:0.0175861,SOL_0011048:0.174226)92:0.0470417)36:0.0157478)55:2.1563e-06)76:0.0155436,VIT_0017658:0.031902)76:0.00697948)70:0.0294442)58:0.0459112)58:0.0335946,NYM_0020610:2.3808e-06)76:0.0521837)90:0.162424,CER_0005172:0.00985427)66:0.112242)100:1.42093,CHL_0002793:2.86516)100:0.250061,DUN_0006856:2.2245e-06);
OG0001312_158_T1_30	((CHL_0018972:0.463262,DUN_0014541:0.718622)100:0.516585,((MAR_0016653:0.607598,CER_0001776:0)99:0.188221,(GIN_0020606:0.293618,((AMB_0010830:0.465786,NYM_0021735:1.0351e-06)99:0.0875923,(((ASP_0025316:0.355363,(ORY_0020545:0.136959,BRA_0007334:1.0351e-06)100:0.288632)99:0.0669044,(CIN_0009746:0.142278,LIR_0019471:1.0351e-06)96:0.0286552)56:0.0319145,(((((((((CEC_0025182:0.108744,(((GLY_0030350:0,PHA_0030083:1.0351e-06)88:0.00575311,(LOC107617270:0.00832009,(ardaradu.V14167.gnm1.Aradu.A01g00300:0.0193542,arharahy.Tifrunner.gnm1.Arahy.11g00635:0.000957461)82:0.0044909)83:0.00547131)92:0.00738779,MED_0013099:0.141338)100:0.0246215)100:0.0794327,CUC_0001835:0.00608967)99:0.0370689,(PRU_0018486:0.215959,POP_0027544:2.5059e-06)99:0.0394752)80:0.0128327,ARA_0008112:0.153092)97:0.0319504,VIT_0023497:0.176181)97:0.0187455,ACT_0007913:0.199403)57:0.0220315,((COF_0014452:0.216587,SOL_0000188:0.165037)97:0.0403805,MIM_0031354:1.0351e-06)96:0.0516905)62:0.02344,HEL_0000889:1.36728)100:0.0582167,AQU_0028090:0.00633745)83:0.0144605)98:0.0879936)79:0.0434782)73:0.121619)100:0.516585);
OG0004443_65_T1_30	((CHL_0010313:0.472746,DUN_0006872:0.457538)100:0.447621,((CER_0007913:0,(GIN_0006481:0.223112,(((((CIN_0010409:0.101991,LIR_0042225:0.0923946)99:0.0297162,(AQU_0021294:0.134931,((((((ARA_0018276:0.245312,POP_0031013:1.047e-06)70:0.0193044,PRU_0036057:1.047e-06)31:0.00675875,((CEC_0031458:0.0690023,(((PHA_0000180:0.0442738,GLY_0022388:1.047e-06)100:0.037406,MED_0017554:2.6127e-06)80:0.0121631,(LOC107618487:0.00168131,(ardaradu.V14167.gnm1.Aradu.A09g00296:0.0138573,arharahy.Tifrunner.gnm1.Arahy.09g00300:0.0239223)95:0.00205946)100:0.0761422)100:0.0350634)100:0.0648436,CUC_0004393:1.047e-06)49:0.0118158)98:0.01938,VIT_0028758:0.110837)86:0.00681597,((COF_0011531:0.142861,(MIM_0010147:0.153344,SOL_0029669:0.166733)99:0.0375076)94:0.0168451,HEL_0004145:0.0578399)91:0.0141705)57:0.00995171,ACT_0023566:0.240419)98:0.0517854)56:0.0188011)51:0.0110695,(ASP_0022700:0.124599,(ORY_0016546:0.0554157,BRA_0042200:0)100:0.182039)96:0.055147)84:0.0302411,AMB_0009677:0.0050488)78:0.0174028,NYM_0008567:1.047e-06)96:0.0917959)83:0.0189562)95:0.160541,MAR_0020958:1.047e-06)100:0.447621);
OG0008047_40_T1_30	((CHL_0010851:0.332428,DUN_0004523:0.41412)100:0.16559,(MAR_0020891:0.266665,(CER_0057988:0.366425,((AMB_0002957:0.176091,NYM_0006850:0.214739)50:0.0170081,((AQU_0028918:0.253143,((CIN_0017309:0.139475,LIR_0039416:0.0753759)87:0.0443258,(SOL_0018030:0.205492,((((((ARA_0020568:0.127687,HEL_0007773:0.129248)75:0.0492822,(ASP_0004189:0.317937,(BRA_0020025:0.104683,ORY_0037395:0.0617104)100:0.237215)51:0.0408511)28:0.0126669,(COF_0016920:0.223046,MIM_0020137:0.221368)50:0.0182104)48:0.0272862,((PRU_0006585:0.156421,CUC_0001047:1e-06)80:0.0544128,VIT_0003927:0.140751)34:0.00770814)29:0.0136376,(((CEC_0006746:0.100474,((PHA_0029036:0.0636112,GLY_0057671:0.0307783)95:0.0278455,(LOC107604960:0.105324,(ardaradu.V14167.gnm1.Aradu.A06g02470:1e-06,arharahy.Tifrunner.gnm1.Arahy.06g02361:0.00179992)77:2.2346e-06)100:0.0974455)99:0.0453288)66:0.0158671,MED_0034954:0.0831587)100:0.0858946,POP_0012134:0.0999799)75:0.0378031)29:0.00435878,ACT_0030344:0.0124943)42:0.0220255)30:0.030929)43:0.0344017)69:0.0186546,GIN_0000153:0.0371714)51:0.0244014)94:0.0936106)99:0.0945212)100:0.16559);
OG0007937_40_T1_30	((CHL_0002665:0.432878,DUN_0001164:0.766983)100:0.60725,(MAR_0014303:0.42084,(CER_0061077:0.35624,(GIN_0005934:0.154104,(AMB_0012411:0.109234,(((CIN_0015242:0.0956367,LIR_0045792:0.0818795)96:0.0217224,((ASP_0016634:0.170531,(BRA_0001144:0.0553542,ORY_0018808:0.0708489)100:0.146873)73:0.0551617,(AQU_0027654:0.0984877,((((ARA_0022118:0.214309,(CUC_0028197:0.122368,PRU_0004774:0.00118366)74:0.0193759)76:0.0183112,(CEC_0021273:0.0492037,(((PHA_0014873:0.0328893,GLY_0056287:1e-06)98:0.0197058,MED_0039000:0.0749602)66:0.0100887,((LOC107613437:0.0205458,arharahy.Tifrunner.gnm1.Arahy.18g02554:1e-06)69:2.7187e-06,ardaradu.V14167.gnm1.Aradu.A08g02259:0.0530493)100:0.0744792)100:0.0305076)100:0.0654828)39:0.00387867,((((COF_0008818:0.128418,SOL_0002903:0.120412)66:0.0160153,MIM_0004980:2.4877e-06)94:0.0369878,VIT_0004540:0.0736538)62:0.0107096,(ACT_0003325:0.111867,HEL_0003955:0.176597)49:0.00637427)44:0.012651)57:0.0083753,POP_0044141:1e-06)100:0.0458597)81:0.0285273)52:0.0245348)52:0.0471228,NYM_0014173:1e-06)44:0.0248676)95:0.12787)99:0.1808)80:0.13581)100:0.60725);
OG0001307_159_T1_29	((CHL_0009956:0.971498,DUN_0003302:0.390267)100:0.243566,(((CER_0003982:1.0081e-06,(((((ASP_0005295:0.0688289,(ORY_0033844:0.0564693,BRA_0031985:1.0081e-06)100:0.0710193)100:0.0668957,(CIN_0016191:0.0691556,LIR_0027513:0.0764066)95:0.0102305)77:0.00525469,(AQU_0004098:0.113345,(((ARA_0020777:0.0663045,CUC_0029055:0)97:0.0268652,(HEL_0018145:0.0378162,POP_0009204:0.0422062)93:0.0149411)63:0.0169326,((((CEC_0022873:0.0439721,(((PHA_0014588:0.056453,GLY_0043145:2.953e-06)100:0.0159587,MED_0019542:1.0081e-06)89:0.0116229,(LOC107632348:0.0174976,(ardaradu.V14167.gnm1.Aradu.A03g00259:0.00471957,arharahy.Tifrunner.gnm1.Arahy.03g00316:0.00307603)100:0.00337709)100:0.00797039)97:0.00954339)100:0.0506037,PRU_0016725:0)82:0.0216501,((MIM_0009432:0.00153382,SOL_0006836:0.0903775)33:0.0141332,COF_0001237:2.1117e-06)96:0.0393767)47:0.00287594,VIT_0025023:0.0676073)56:0.0102935)99:0.0340391)75:0.0104365)100:0.0930498,AMB_0013654:0.0748028)84:0.00715171,NYM_0043542:1.0081e-06)85:0.0290319)33:0.0241451,MAR_0020566:0.0134044)26:0.0366581,GIN_0011084:0.0746495)48:0.0418022);
OG0000633_253_T1_29	((CHL_0017552:0.721663,DUN_0002869:0.783015)84:0.193269,(((((((ACT_0008296:0.161402,(((MIM_0026843:0.241312,SOL_0024697:0.185943)92:0.0155212,COF_0009281:2.5805e-06)97:0.0308612,HEL_0025668:0.173595)100:0.0378407)100:0.0274671,((((CUC_0020742:0.30721,ARA_0024514:0.0277783)98:0.0539193,(CEC_0028221:0.0698425,(((PHA_0029724:0.0509362,GLY_0031130:1.0623e-06)100:0.049553,MED_0007488:0.107069)100:0.0210013,((LOC107638776:1.0623e-06,arharahy.Tifrunner.gnm1.Arahy.14g00806:1.0623e-06)100:0.00519122,ardaradu.V14167.gnm1.Aradu.A04g00659:0.00066285)88:0.00131487)100:0.0288576)100:0.0770353)99:0.0179971,(POP_0025944:0.152864,PRU_0043945:2.28e-06)99:0.0307268)100:0.0255953,VIT_0013333:0.111147)99:0.00965165)100:0.0627353,AQU_0010430:2.1781e-06)100:0.0479085,(((ASP_0019659:0.151036,(BRA_0027943:0.0958613,ORY_0007198:0.0658713)100:0.316605)100:0.107508,LIR_0014636:0.0897255)96:0.0220673,CIN_0013617:0.114173)98:0.031582)99:0.0684223,(AMB_0001043:0.199871,NYM_0013226:2.6625e-06)98:0.0338012)100:0.122415,GIN_0012213:0.272805)100:0.198649,MAR_0000596:0.5138)100:0.0956561);
