gene,sample_A,sample_B,sample_C
ACT_0000049,63.943,2.501,27.503
ACT_0000118,22.321,73.647,67.67
ACT_0000331,89.218,8.694,42.192
ACT_0000424,2.98,21.864,50.536
ACT_0000464,2.654,19.884,64.988
ACT_0000601,54.494,22.044,58.927
ACT_0000627,80.943,0.65,80.582
ACT_0000655,69.814,34.025,15.548
ACT_0000670,95.721,33.659,9.275
ACT_0000795,9.672,84.749,60.373
ACT_0000846,80.713,72.973,53.623
ACT_0000904,97.312,37.853,55.204
ACT_0000917,82.94,61.852,86.171
ACT_0000929,57.735,70.457,4.582
ACT_0001003,22.79,28.939,7.979
ACT_0001182,23.279,10.1,27.797
ACT_0001446,63.568,36.483,37.018
ACT_0001477,20.951,26.698,93.665
ACT_0001542,64.804,60.913,17.114
ACT_0001653,72.913,16.34,37.946
ACT_0001665,98.952,64.0,55.695
ACT_0001719,68.461,84.285,77.6
ACT_0001737,22.905,3.21,31.545
ACT_0001767,26.774,21.098,94.291
ACT_0002522,87.637,31.468,65.544
ACT_0002639,39.563,91.455,45.885
ACT_0002665,26.488,24.663,56.137
ACT_0002792,26.274,58.459,89.782
ACT_0003005,39.94,21.932,99.754
ACT_0003237,50.953,9.091,4.712
ACT_0003325,10.965,62.745,79.208
ACT_0003364,42.216,6.353,38.162
ACT_0003413,99.612,52.911,97.108
ACT_0003516,86.078,1.148,72.072
ACT_0003583,68.171,53.697,26.683
ACT_0003594,64.096,11.155,43.477
ACT_0003596,45.372,95.382,87.585
ACT_0003600,26.339,50.059,17.865
ACT_0003674,91.263,87.052,29.844
ACT_0003794,63.895,60.897,15.284
ACT_0003845,76.251,53.938,77.863
ACT_0003901,53.035,0.057,32.416
ACT_0004080,1.948,92.91,87.872
ACT_0004296,83.167,30.751,5.793
ACT_0004359,87.801,94.695,8.565
ACT_0004579,48.599,6.921,76.06
ACT_0004603,76.583,12.839,47.528
ACT_0004640,54.98,26.506,87.243
ACT_0004709,42.314,21.18,53.93
ACT_0004827,72.993,20.115,31.172
ACT_0004987,99.515,64.988,43.81
ACT_0005120,51.758,12.1,22.47
ACT_0005121,33.809,58.831,23.011
ACT_0005135,22.022,7.099,63.11
ACT_0005158,22.894,90.542,85.964
ACT_0005196,7.086,23.8,66.898
ACT_0005318,21.424,13.231,93.551
ACT_0005391,57.104,47.267,78.462
ACT_0005456,80.75,19.041,9.693
ACT_0005461,43.105,42.358,46.702
ACT_0005596,72.908,67.336,98.417
ACT_0005654,9.842,40.262,33.93
ACT_0005731,86.167,24.866,19.021
ACT_0005779,44.861,42.188,27.855
ACT_0005793,24.981,92.327,44.313
ACT_0005828,86.135,55.033,5.059
ACT_0005877,99.928,83.603,96.9
ACT_0005926,92.637,84.87,16.631
ACT_0005939,48.564,21.375,40.104
ACT_0005965,5.864,37.897,98.531
ACT_0006132,26.52,78.407,45.501
ACT_0006197,42.301,95.732,99.542
ACT_0006218,55.577,71.841,15.48
ACT_0006286,29.671,96.871,57.918
ACT_0006366,54.22,74.798,5.717
ACT_0006410,58.418,50.285,85.272
ACT_0006446,15.743,96.078,8.011
ACT_0006597,18.582,59.504,67.521
ACT_0006766,23.52,11.989,89.029
ACT_0006855,24.622,59.452,61.938
ACT_0006990,41.922,58.367,52.278
ACT_0006997,93.471,20.426,71.619
ACT_0007078,23.869,39.579,67.169
ACT_0007358,30.0,31.618,75.186
ACT_0007428,7.254,45.829,99.845
ACT_0007664,99.61,7.326,21.315
ACT_0007678,26.52,93.326,88.086
ACT_0007780,87.927,36.953,15.775
ACT_0007913,83.374,70.354,61.168
ACT_0007990,98.723,65.398,0.782
ACT_0008049,81.71,29.938,66.339
ACT_0008113,93.893,13.429,11.543
ACT_0008296,10.704,55.322,27.235
ACT_0008373,60.483,71.761,20.36
ACT_0008566,63.424,26.398,48.853
ACT_0008737,90.534,84.61,9.23
ACT_0008748,42.358,27.668,0.355
ACT_0008901,77.112,63.711,26.196
ACT_0009266,74.123,55.168,42.769
ACT_0009297,0.967,7.524,88.311
ACT_0009322,90.393,54.559,83.46
ACT_0009380,58.251,14.809,12.745
ACT_0009413,30.826,89.898,79.612
ACT_0009627,86.07,89.892,21.008
ACT_0009636,24.953,10.279,78.012
ACT_0009917,88.413,40.638,62.066
ACT_0009925,15.455,92.988,86.461
ACT_0009958,97.621,81.077,88.142
ACT_0010006,2.479,73.656,33.219
ACT_0010080,93.082,80.224,86.406
ACT_0010093,81.075,26.681,78.737
ACT_0010095,10.81,87.217,85.859
ACT_0010159,22.243,81.659,46.03
ACT_0010236,30.519,79.535,22.76
ACT_0010480,2.366,19.313,32.826
ACT_0010739,86.435,96.689,27.912
ACT_0010951,64.148,39.968,98.115
ACT_0011023,53.622,93.924,11.534
ACT_0011156,97.04,17.857,96.253
ACT_0011360,26.547,10.84,43.456
ACT_0011401,72.855,31.368,60.621
ACT_0011467,51.142,38.52,57.659
ACT_0011634,25.472,70.879,0.169
ACT_0011693,92.558,53.845,71.943
ACT_0011809,74.195,67.063,36.422
