GD Event Node,GD Subclade Count,GD Subclade A,GD Subclade B,Tree ID,GD ID,End Species,Final Copy Number,Loss Summary,GD Loss Path,S28,S27,S26,S25,S24,S23,S22,S21,S20,S19,S18,S17,S16,S15,S14,S13,S12,S11,S10,S9,S8,S7,S6,S5,S4,S3,S2,S1,S0,DUN,CHL,MAR,CER,GIN,AMB,NYM,BRA,ORY,ASP,CIN,LIR,AQU,COF,SOL,MIM,HEL,ACT,VIT,POP,ARA,PRU,CUC,PHA,GLY,MED,ARH,ARI,ARD,CEC
S28,2,NA,ACT_0017640,OG0000665_247,78,ACT,1,Lost after S28,S28(2)->S27(1)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,2,NA,ACT_0001003,OG0004491_64,234,ACT,1,Lost after S28,S28(2)->S27(1)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,1,NA,ACT_0009636,OG0001267_162,102,ACT,1,Lost after S27,S28(2)->S27(2)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),2,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,2,NA,ACT_0009627,OG0001259_162,90,ACT,1,Lost after S25,S27(2)->S26(2)->S25(2)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),NA,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,2,NA,ACT_0010095,OG0002498_99,203,ACT,1,Lost after S25,S27(2)->S26(2)->S25(2)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),NA,2,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,1,NA,ACT_0025343,OG0000652_249,50,ACT,1,Lost after S26,S27(2)->S26(2)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),NA,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,1,NA,ACT_0009636,OG0001267_162,101,ACT,1,Lost after S24,S27(2)->S26(2)->S25(2)->S24(2)->S23(1)->S22(1)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),NA,2,2,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,1,ACT_0023149,NA,OG0002522_99,214,ACT,1,Lost after S7,S27(2)->S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(1),NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,6,ACT_0025385,ACT_0025343,OG0000652_249,49,ACT,2,No duplicate lost,S27(2)->S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(2),NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,6,ACT_0019842,ACT_0009925,OG0000667_246,84,ACT,2,No duplicate lost,S27(2)->S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(2),NA,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
